gas algorithm Recent, algorithm Recent theoretical, fluid dynamic problem, recent theoretical result, solve fluid dynamic, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical result suggest, quantum information processor, algorithm Recent, information processor communicate, dynamic problem, lattice gas, communicate via classical
Net Enterprise Server, Enterprise Server Release, Server Release Candidate, progress microsoft window, eventually replace window, slow progress Microsoft, dot - net make slow, Net Enterprise, microsoft window, make slow progress, Advanced Server, Release Candidate, Enterprise Server, Server Release, replace window
large - scale secure multicast, member can not decrypt, distribute server approach, secure multicast, large - scale secure, order to offer, offer backward, backward and forward, forward secrecy, join or leave, multicast, user pool, distribute server, datum encryption key, server approach
four - player quantum game, multi - player quantum game, quantum game play, cooperative multi - player quantum, game play, cooperative multi - player, quantum game, four - player quantum, multi - player quantum, Cooperative, quantum, game a cooperative, player, study, quantum superpose operator
law firm, Blog, firm, law, tool, Individual, institutional, create valuable content, provide simple tool, solve that problem, focus on provide, year, provide simple, user that create, create valuable
global structural representation, whilst incorporate accurate, incorporate accurate blackbox, model identification methodology, grey - box model identification, whilst incorporate, compute this paper, paper present, methodology that make, priori knowledge, dominant structural identification, accurate blackbox model, identification methodology, global structural, structural representation
automatic generation control, automatic generation, generation control parameter, generation control, present a method, method base, power system, generation, optimization of automatic, control parameter, genetic algorithm, automatic, control, power, genetic approach
improve business process, efficiency and profitability, improve business, business process, huge impact, company efficiency, choose, business software, business, software, vendor, profitability, buy, software feature, improve
application environment, environment be exceedingly, exceedingly dynamic, workflow monitor, multi - agent collaboration, workflow, dynamic and competitive, problem, monitor, application, competitive, change process requirement, collaboration, environment, exceedingly
web - base enterprise resource, enterprise resource plan, resource planning system, web - base enterprise, enterprise resource, resource plan, critical business datum, analysis for web - base, central nervous system, synergic analysis, central nervous, manage an organization, organization mission, mission and critical, e - business implementation
Salt River Project, initiative Reliability planning, management initiative Reliability, River Project, Salt River, cost benefit model, asset management initiative, Reliability planning analysis, initiative Reliability, Reliability planning, srp roll, cost benefit, benefit model, asset management, management initiative
background gradient compensation, z - shim background gradient, multiecho segment epi, gradient compensation, multiecho segment, z - shim background, background gradient, segment epi, pulse sequence, severe susceptibility artifact, compensation, functional MRI, epi with z - shim, segment, propose and validate
complex Schur polynomial, circle traverse counterclockwise, complex Schur, unit circle traverse, schur polynomial, traverse counterclockwise, strictly positive, condition for schur, Schur, rate of change, unit circle, real polynomial evaluate, circle traverse, phase condition, change of phase
application multiresolution analysis, application multiresolution, Multiresolution analysis, level of detail, wavelet, efficient tool, tool for represent, multiple level, four - point wavelet, MRA, four - point, Multiresolution, four - point subdivision scheme, four - point subdivision, wavelet provide
intensity modulate radiation, modulate radiation therapy, neoplasm with intensity, intensity modulate, millennium multileaf collimator, multileaf collimator leaf, modulate radiation, radiation therapy, imrt treatment plan, multileaf collimator, CNS, IMRT treatment, MLC treatment delivery, dose, neck neoplasm
flexible manufacturing system, fix production ratio, production ratio determine, flexible manufacturing, Production capacity, manufacturing system, fix production, production ratio, Production, important issue, ratio determine, maximum production rate, capacity of flexible, determine the production, manufacture
arterial spin labeling, oxygen - enhance and arterial, arterial spin, spin labeling, spin labeling technique, signal intensity, study investigate, healthy volunteer, intensity in human, oxygen - enhance, arterial, spin, ventilation - perfusion ratio, ASL, labeling technique
laser - base internal profile, automatic laser - base system, internal profile measurement, laser - base internal, automatic laser - base, internal profile, profile measurement system, laser - base system, measure the internal, system, internal, laser measurement meter, laser - base, measurement, floor
model predictive control, large - scale model predictive, predictive control Quadratic, control Quadratic programming, Quadratic programming, quadratic programming algorithm, model predictive, predictive control, large - scale model, mpc application, control Quadratic, challenge mpc application, important element, Quadratic, large mpc application
war game, network security, tip of tongue, terror group, group could target, target your network, Qaeda, network, War, game, truth, security, world, find, tip
bane or boon, law report, law, transcript, report, bane, boon, statutory system, system, judge - make law, efficient system, immediately accessible, law reporter, decision go unreported, nature
financial, FinancialContent, Web, Financialcontent.com, site name financialcontent.com, financial information, name financialcontent.com, content, web site, Web site, credibility be king, expect to find, individual Web site, individual Web, information
FCC Chairman Michael, Chairman Michael Powell, commerce committee tell, michael powell pitch, six - step market - base recovery, market - base recovery plan, telecom revival require, FCC Chairman, Chairman Michael, Commerce Committee, Michael Powell, committee tell, reliance on regulation, powell pitch, pitch a six - step
computer science, computer science major, science, science major, computer, male computer science, open letter, Surely, major, major, respective institution, Open, letter, woman, attractive
current - program regulator uncertainty, regulator uncertainty model, current - program regulator, basic switch - mode converter, Robust stability analysis, regulator uncertainty, delta, basic switch - mode, model, Robust stability, stability analysis, uncertainty model, buck, boost, structure dynamic uncertainty
relational type characterize, study indiscernibility relation, information system, complementarity relation, first - order condition, duality result, structure of relational, relational type, type characterize, indiscernibility relation, modal logic, first - order characterization, indiscernibility and complementarity, complementarity, information
totally dual integral, feedback vertex set, cycle - vertex incidence matrix, vertex set problem, feedback vertex, vertex set, linear system, dual integral, all - one vector, sufficient condition, totally dual, cycle - vertex incidence, incidence matrix, bipartite tournament, general bipartite tournament
single pass turning, pass turn operation, pass turn, single pass, turn operation, economic cutting condition, cut condition, deterministic approach, deterministic optimization approach, pass, turn, operation be present, economic cutting, optimization analysis, cut
profile edge lamination, tool profiled edge, profile edge, promise rapid tooling, lamination tooling profile, edge lamination tooling, PEL tooling development, simultaneously profile, intend tool surface, top edge, edge lamination, CAD model, tooling profile, profile, comprehensive PEL tooling
user find workflow, process management software, management software appeal, business process management, Keen but confused, straightforward to implement, find workflow, content management, user find, business process, software appeal, process management, management software, workflow, content
customer relationship management, approach zenith, relationship management, manufacturer be start, start to warm, concept of customer, customer relationship, crm software evolve, CRM, CRM software, approach, management, big business, zenith, manufacturer
important windows - base application, tax service peterborough - base, service peterborough - base tax, peterborough - base tax consultancy, taxguard want real - time, safeguard tax service, windows - base application, service peterborough - base, consultancy IE Taxguard, taxguard want, important windows - base, peterborough - base tax, server safeguard tax, want real - time failover, real - time failover protection
nest petri net, nest petri, petri net nest, net nest petri, model dynamic object, allow token, nest, dynamic object, object in distribute, represent by mark, net nest, Petri, petri net, Petri net, model dynamic
retinal blood vessel, local neighbourhood information, Adaptive image enhancement, adaptively estimate base, segmentation Retinal blood, vessel segmentation Retinal, blood vessel image, retinal blood, blood vessel segmentation, nonstationary background, neighbourhood information, Adaptive image, blood vessel, segmentation Retinal, enhance by remove
business structure accelerate, structure accelerate business, accelerate business process, structure accelerate, business process demand, accelerate business, process demand, distribute business structure, knowledge database, Efficient allocation, accelerate, information system, information, business structure, business process
Boost Graph Library, Graph Library graph, Boost Graph, Graph Library, apply boost graph, author apply boost, apply bgl, computational geometry, Graph, graph library datum, Graph Library generic, BGL to computational, Library graph, Boost, Library
constraint satisfaction problem, Constraint Satisfaction, satisfaction problem, csp search algorithm, numeric csp search, accelerate filter technique, search algorithm, filter technique, csp search, make an extensive, accelerate filter, numeric csp, Constraint, problem, filter
Virtual Development Center, Virtual Development, Development Center, Development Center program, seek to significantly, significantly enhance, Development, Virtual, Center, Technology, technology seek, woman, enhance the impact, institute for woman, Institute
access matter discuss, include accessible web, matter discuss accessibility, accessible web site, TTY access, matter discuss, web site, people with disability, include accessible, client to resource, discuss accessibility, accessible Web, refer client, access matter, Braille
provide competitive advantage, manufacture technology innovation, appropriately implement, provide competitive, competitive advantage, manufacture, manufacture technology, manufacture technology, advanced manufacturing technology, technology innovation, Exploratory study, common questionnaire, technology, USA, manufacturer
South Africa transition, South Africa, policy support freedom, adopt policy support, develop policy, Africa transition, africa follow south, South, Africa, access, support freedom, freedom of expression, adopt policy, policy support, Work in progress
network without wire, thin air, wire several type, type of device, device use radio, radio transmitter, transmitter to send, send datum, datum over thin, network, air, wireless local area, local area network, wireless local, area network
produce entangle spin, entangle spin squeeze, spin squeeze state, propose a method, method to produce, produce entangle, entangle spin, spin squeeze, squeeze state, inside an optical, atom, kappa Gamma, atom cavity coupling, entangle atom, large number
chest radiographic report, natural language processing, natural language, chest radiographic, radiographic report, natural language processor, language processing, narrative chest radiographic, ch radiographic narrative, evaluate translation, compare the finding, radiographic narrative report, translate chest radiographic, translate clinical information, language
risk attitude, subconscious priming, choice preference, attitude we present, prime, subconscious, attitude, Experiment, risk, preference, present a procedure, Choice, inference, prime procedure, procedure
self - organize context - base approach, recall complex spatiotemporal, neural network design, complex spatiotemporal sequence, self - organize context - base, context - base approach, tracking of multiple, design to learn, learn and recall, recall complex, complex spatiotemporal, multiple robot trajectory, combine competitive, neural network, network design
spatial normalization, affine transformation, base affine registration, intensity base affine, affine registration include, base affine, include feature similarity, similarity for spatial, affine registration, spatial, normalization, affine, brain, normalization with affine, paper present
logic be base, information be codify, high level, random pulse sequence, controller stochastic logic, random pulse, random pulse stream, finite sequence, pulse, pulse sequence, Stochastic logic, pulse stream, binary pulse sequence, digitally process, sequence
approach analysis push, metamodelle approach analysis, push and pull, analysis push, approach analysis, pull system, transportation consideration, metamodelle approach, Comparison of push, pull, system, analysis, push, multistage production system, system
legal information professional, legal information, Cat and class, information professional, information, legal, skill, classification skill teach, Cat, class, information study, professional, classification skill, skill teach, article
current mirror operation, current - mode algorithmic, converter error limit, mirror operation, relate to current, current mirror, error limit, algorithmic, current - mode, Resolution, limit the resolution, resolution of current - mode, converter error, systematic error, error
size - resolve cloud model, cloud drop lead, size - resolve cloud, cloud model, phase, existence of cloud, cloud drop, gas phase, cloud, multiphase chemical system, gas phase chemistry, phase chemistry, aqueous phase, aqueous phase chemistry, chemical specie
colocate feedback controller, paper we propose, propose a special, special type, type of colocate, colocate feedback, Resonant, smart structure, resonant controller, resonant circuit, smart, feedback controller, parallel combination, high - q resonant circuit, controller
Commercial and Technical, public business library, public business librarie, Technical Library, leed public library, british standard information, chapter trace, trace the history, Public Commercial, business information service, Public business, Library, public library, mainstream business information, business information
eliminate redundant task, process pioneer, infrastructure along so - call, organisation can streamline, eliminate redundant, increase automation, agile business, business process, manage it infrastructure, redundant task, task and increase, line, streamline their business, Process, pioneer
perform text independent, utterance level scoring, computationally simple method, text independent speaker, level scoring, order statistic, text - independent speaker verification, call utterance level, utterance level, model this paper, paper describe, describe a computationally, computationally simple, perform text, text independent
couple electron - photon transport, clinical accelerator target, clinical electron accelerator, Boltzmann equation, Monte Carlo, monte carlo calculation, monte carlo method, slab geometry, clinical accelerator, electron accelerator target, transport in one - dimensional, accelerator target, energy spectra produce, compute photon energy, monte carlo run
open source, network dominate today, secure, dominate today compute, today compute landscape, protection, technology, open, source, network dominate, attack technology, commercial technical protection, technical, dominate today, today compute
equivalent electronic circuit, electronic circuit, system be simulate, equivalent electronic, cardiovascular system, cardiovascular physiology, heart, cardiovascular, diastolic, circuit, physiology, diastolic function, system, simulate, equivalent
well - establish multipulse topology, high - power converter topology, power converter topology, multilevel topology, converter topology, multipoint clamp, transmission system, nest cell, multipulse topology, topology, comparison of high - power, paper compare, flexible AC transmission, well - establish multipulse, power flow controller
automate manufacturing cell, limit labour constraint, tear - down and load, manufacture cell, automate manufacturing, work sequence, today automate manufacturing, constraint this study, study focus, limit to setup, manufacture, group scheduling heuristic, utilization be limit, limit, limit labour
heat equation, equation with nonlocal, equation with integral, nonlocal boundary condition, integral boundary condition, paper deal, boundary condition, numerical solution, heat, equation, nonlocal boundary, integral boundary, solution, resolvent condition, sectorial resolvent condition
santera target independent, include independent telco, major strategy overhaul, capital expense budget, slash capital expense, next - generation switch platform, santera system, calif - base kerman telephone, big carrier slash, carrier slash capital, santera target, system be broaden, independent telco, strategy overhaul, expense budget
chemical mechanical polishing, physics - base cmp modeling, physically base comprehensive, establish the discipline, past decade, semiconductor industry, discipline of physics - base, chemical mechanical, mechanical polishing, polishing have elude, elude the semiconductor, base comprehensive process, comprehensive process model, physics - base cmp, CMP modeling
judgment, eliminate recency, debias recency, recency, self - review, auditor, concern, audit, paper examine, staff auditor, staff, auditor ' judgment, auditor ', choice, concern judgment
simulate run jointed, joint leg pose, difficult control problem, run jointed leg, joint leg run, intelligent takeoff controller, pose a difficult, difficult control, scalable intelligent takeoff, run jointed, simulate run, joint leg, joint, scalable intelligent, neural controller
low encoding, paper propose, propose a versatile, capable of low, versatile perceptual audio, audio code, perceptual audio code, Perceptual audio, audio, high compression ratio, decode delay, code, lossless, achieve high compression, delay
vector rotational CORDIC, signal processing application, angle quantization approach, quantization approach Vector, approach Vector rotation, digital signal processing, Rotational CORDIC Family, angle quantization, key operation employ, operation employ extensively, call angle quantization, vector rotational, rotational CORDIC, CORDIC Family, CORDIC
viscosity solution technique, deterministic control problem, run cost, solution technique, cost be study, study by viscosity, viscosity solution, Homogenization of deterministic, Homogenization, effective Hamiltonian, deterministic control, Birkhauser Boston, Stochastic Analysis, Hamiltonian, periodic micro - structure converge
trail edge flap, trail edge, edge flap, reduce unwanted helicopter, unwanted helicopter noise, blade trail edge, current rotorcraft research, edge flap actuator, tube actuator, active trail edge, flap, edge, piezoelectric tube actuator, edge flap deflection, rotor blade trail
nas parallel benchmark, NAS parallel, HPF, na, implement all na, well - know benchmark set, HPF version, compile and implement, high - performance fortran, hpf the na, NPB, well - know benchmark, HPF compiler, parallel benchmark, benchmark
Dynamic modification, object petri net, petri net, high - level petri net, object - base high - level petri, object Petri, high - level petri, Petri, model protocol, net, Dynamic, object net formalism, modification of object, modification, object net
channel code, channel, scheme for joint, lapped transform, joint source, code, efficient lapped transform, Source, block classification, image, propose, transform and block, traditional source, channel - optimise robust quantiser, lap
process design, energy consumption, electropneumatic field, field This article, article propose, modify with respect, specification for position, position and velocity, velocity tracking, control strategy, application in electropneumatic, electropneumatic system, process be modify, industrial bench test, process
semidefinite feasibility problem, feasibility problem semidefinite, problem semidefinite feasibility, feasibility problem arise, semidefinite feasibility, symmetric positive semidefinite, semidefinite matrix Gamma, feasibility problem, analytic center cutting, Gamma, center cut plane, analytic center, cut plane method, cut plane, positive semidefinite
indirect monitoring method, monitor method, signal analysis technique, wear and failure, test and report, tool condition monitoring, failure monitoring, signal analysis, monitor, summary, analysis technique cover, method, method apply, Wavelet Transform, tool wear
weld, sacrifice quality, industry be drive, arc welding, deep narrow penetration, double - sided arc welding, deep narrow, arc, achieve deep narrow, narrow penetration, welding process, arc welding process, weld industry, double - sided arc, improve welding productivity
sbc communication, communication last week, regulatory compliance effort, SBC, regulatory compliance, regulatory compliance unit, week create, bring a cohesiveness, cohesiveness and efficiency, effort that previously, land fcc approval, compliance effort, communication, compliance unit, compliance
provide numerical measure, potential and performance, capability index, numerical measure, process capability index, process capability index, Maple computer program, capability, calculate the p - value, capability index call, Computer program, capability index, testing process capability, pmk, process potential
time pass, hardware and software, software replace, block, pass, upgrade practicality, kit, time, hardware, software, replace, upgrade, dalrymple examine, reseller and consultant, Dalrymple
evaluate alternative manufacturing, dynamic job route, distribute control system, describe an investigation, effect of dynamic, alternative manufacturing control, control strategy, alternative control strategy, evaluate alternative, job sequence decision, control, manufacture control strategy, distribute control, paper describe, control system
GUI library Swing, provide software developer, highly customizable framework, library Swing provide, make swing component, GUI library, Swing provide software, run time, International swinging, swing component locale - sensitive, run, provide software, software developer, highly customizable, customizable framework
reach potential customer, cheap Web technology, potential customer, Web talk, cheap Web, Web technology, talk be cheap, wealth of opportunity, opportunity for reach, reach potential, Web, customer, talk, cheap, technology
wavelet packet basis, wavelet packet, operator diagonal, packet basis, average over translation, wavelet, packet, show, diagonal, convolution, operator, basis, permit, basis we show, basis
Carnegie Mellon University, Carnegie Mellon experience, university be woman, Carnegie Mellon, Carnegie Mellon School, Mellon University, unlock the clubhouse, student enter, enter the undergraduate, undergraduate program, Mellon experience, computer science, Carnegie, Mellon, Mellon School
Efficient cellular automata, cellular automata base, programmable cellular automata, low - complexity programmable cellular, automata base versatile, base versatile modular, cellular automata, base versatile multipli, base versatile, Efficient cellular, versatile modular multipli, automata base, programmable cellular, low - complexity programmable, PCA
security protocol, automatic attack construction, find potential attack, strand space model, paper propose, propose an automatic, find potential, strand space, security, dynamic strand space, order to find, attack construction algorithm, space model, space, original strand space
modulate radiation therapy, treatment planning typically, intensity modulate radiation, incorporate multi - leaf collimator, iterative IMRT optimization, optimization intensity modulate, beam delivery, MLC, optimization, multi - leaf collimator, collimator leaf sequence, beam delivery device, IMRT optimization Intensity, radiation therapy, separate task
Vehicle travel time, travel time model, travel time, agv - base material handling, material handling system, agv system, Vehicle travel, variable involve, highly complex, large number, number of variable, model for agv, empty travel time, material handling, travel
virtual reality grade, reality grade exposure, grade exposure therapy, imaginal exposure therapy, reality grade, exposure therapy, virtual reality, grade exposure, equally efficacious, imaginal exposure, efficacious, VRGET, fear of fly, exposure, therapy
global invariant set, stable stationary state, three - dimensional nonlinear chaotic, time - periodic orbit, global invariant, invariant set, three - dimensional nonlinear, stable stationary, stationary state, state or time - periodic, control, nonlinear chaotic system, steer trajectory, paper present, energy
team software development, distribute team software, software development, team software, software development process, current team software, Knowledge flow, software development Cognitive, Knowledge, Cognitive cooperation, team, neglect in current, development Cognitive cooperation, software, flow
Network Markup Language, neural network, neural network model, neural network exchange, train neural network, Neural Network Markup, network, exchange This article, article introduce, introduce a framework, interchange of train, neural, Markup Language, train neural, network model
Taiwan power company, power company phase, Taiwan power, power company, City District Office, privatization and deregulation, Taipei City District, company phase, face the challenge, challenge and impact, inevitable trend, trend toward privatization, Taiwan, power, facility management
efficient and stable, propose an efficient, find ray - surface intersection, parametric surface, find ray - surface, stable algorithm, Newton method, efficient, Newton, stable, bezier clip, algorithm, stable ray, algorithm for parametric, algorithm for find
trajectory time - resolve contrast - enhance, time - resolve contrast - enhance, time - resolve contrast - enhance imaging, projection trajectory time - resolve, trajectory time - resolve, time - resolve, gain in popularity, resolution, contrast - enhance, contrast - enhance imaging, isotropic, projection trajectory, projection, undersampled, MRA
groove network, network, Ray Ozzie, Information Age, Groove, CEO and chairman, Massachusetts company, connection age, produce collaboration software, Age, Ozzie, information technology, connection, information, chairman of Groove
qw executive shed, executive shed light, carrier controversial deal, qw executive, real story, executive shed, shed light, carrier controversial, controversial deal, Calpoint, telecom, Qwest, check from Quest, story behind Calpoint, deal with Calpoint
computer engineering, computer science, woman of color, increase the number, woman, science and computer, computer, area of compute, color, find the number, compute, woman of under - represent, color base, engineering, under - represent ethnicity
nonlinear time - invariant input - output, nonlinear time - invariant, time - invariant input - output dynamical, Lyapunov function, dynamical system, storage function, passive dynamical, storage functional, dynamical, lyapunov function satisfy, imply storage function, passive dynamical system, storage function satisfy, unique Lyapunov function, Lyapunov
rydberg - atom datum register, rydberg - atom datum, retrieve phase information, quantum - state information retrieval, subpicosecond half - cycle electric, half - cycle electric field, electric field pulse, quantum search protocol, datum register, quantum - state information, rydberg - atom, analyze a quantum, protocol to retrieve, phase retrieval, phase information
nonlinear system, stochastic averaging approach, feedback stochastic control, Ito stochastic differential, stochastic average, feedback control design, feedback control, amplitude process, random excitation, excitation this paper, paper present, design and quantifying, stochastic differential equation, average approach, Ito stochastic
undergraduate level, world This paper, paper describe, woman in compute, compute, woman, participation, level, affect woman participation, affect woman, world, paper, describe, focusse, undergraduate
quantum full adder, chain quantum computer, spin quantum computer, scalable nuclear spin, full adder, quantum full, nuclear spin quantum, quantum computer, spin chain quantum, scalable nuclear, strategy for implementation, quantum, full, nuclear spin, chain quantum
web service, Web, call web service, wrinkle, innovation call web, call web, internet - relate innovation call, financial sector produce, service, technology, wave of internet - relate, internet - relate innovation, economy year, Hmm, technology hype
product - support logistic system, agent - base product - support logistic, product - support logistic, maintenance service, product - support logistic chain, provision of maintenance, competitiveness of industrial, service part, logistic system, agent - base product - support, product - support, timely provision, logistic, Resource Description Framework, industrial system
abelian branch covering, weak equivalence class, finite abelian group, equivalence class, m - branch point, weak equivalence, branch covering, obtain an enumeration, finite abelian, abelian group, abelian branch, enumeration formula, sphere We obtain, sphere with m - branch, sphere
matrix operator rho, simple mixed state, mix state characterize, special entangled state, fully entangle state, unity matrix, entangle state, matrix operator, Frontier between separability, operator rho, system We discuss, simple mixed, separable state, mix state, state characterize
Electronic Case File, Case File system, do dog day, successful e - filing venture, Case Management, Electronic Case, Case File, Management and Electronic, do dog, File system, united states court, law firm, successful e - filing, e - filing venture, dog day
time delay control, integral slide surface, robotic excavator, heavy - duty robotic excavator, slide surface, integral sliding, heavy - duty excavator vary, mechanical structure, robotic excavator increase, time delay, variation in mechanical, nonlinearitie in hydraulic, hydraulic actuator, actuator and disturbance, disturbance due
discrete chaotic process, finite sample, estimate discrete chaotic, discrete chaotic, approach be discuss, chaotic process, Optimal estimation, optimal algorithm, estimate discrete, chaotic process, sample be consider, finite, synthesis of optimal, sample, discrete
operator approach develop, bound operator approach, construction of two - sided, paper extend, approach develop, develop for boundary, bound operator enclose, initial - boundary value problem, operator approach, operator enclose method, bound operator, two - sided bound, case of initial - boundary, initial - boundary, problem
article define knowledge, Knowledge management, discuss its role, define knowledge management, describe its function, article define, Knowledge, management, define knowledge, knowledge management initiative, discuss, role, function, involve in knowledge, article
modify genetic algorithm, stochastic search procedure, search procedure base, develop near - optimal topology, Truss topology optimization, genetic algorithm, load - bear truss structure, Truss topology, modify genetic, stochastic search, search procedure, procedure base, develop near - optimal, near - optimal topology, topology of load - bearing
classify thing, content, Taxonomy, content management, Taxonomy role, thing, management, role, simply, classify, create yahoo, relate application, rapidly grow list, vendor offer taxonomy, offer taxonomy software
Commerce Department plan, department plan ease, spectrum - starve wireless carrier, federal government make, wireless carrier fear, Commerce Department, spectrum allocation system, Department plan, plan ease, spectrum - starve wireless, third - generation service, crunch The federal, federal government, government make, week toward clean
garnett foundation commission, Backyard Project, Garnett Foundation, encourage high school, Global Strategy Group, high school girl, college - bind high school, high school student, prime the pipeline, computer science career, pilot program, high school, institute to encourage, encourage high, Global Strategy
close loop finite - element, loop finite - element modeling, three - dimensional finite - element closed - loop, time domain analysis, finite - element closed - loop model, active constrained layer, constrain layer damp, time domain, domain analysis, loop finite - element, finite - element modeling, three - dimensional finite - element, finite - element closed - loop, close loop, vibrate structure
diagnose tuple inconsistency, inconsistent tuple, knowledge discovery, approach to granularization, present for knowledge, TCRM, tuple, granulize dataset, diagnose tuple, inconsistent, granulize, dataset, tuple inconsistency, model, diagnose
resolve current problem, similarity measure, measure between case, past similar case, case, measure, need in order, order to evaluate, order to resolve, similarity, current problem, similar case retrieval, evaluate the degree, resolve current, order
carcinomas Accurate diagnosis, nasopharyngeal carcinoma accurate, Accurate diagnosis, carcinomas Accurate, Image fusion, MRI, fdg - pet and mri, fusion, fdg - pet, radiotherapy planning, extent be important, important in three - dimensional, CTV, Image, fusion image
dibromoalkane monophosphorylation reaction, michaelis - becker dibromoalkane monophosphorylation, monophosphorylation reaction, Experimental design methodology, Experimental design, optimise an organic, organic synthesis, aim at maximise, maximise the yield, michaelis - becker dibromoalkane, dibromoalkane monophosphorylation, analysis technique apply, design methodology, datum analysis, datum analysis technique
Repeat Sequence Database, Repeat Sequence, centralize database system, Sequence Database, repetitive element, element in complete, complete genome, genome the original, original version, create base, base on centralize, rsdb presently include, database system, RSDB, centralized database
acoustic layer score, combine acoustic layer, syllable - base statistical language, statistical language model, layer score, word spot base, combine acoustic, acoustic layer, syllable - base statistical, statistical language, word spot, hide markov model, language model, confidence, keyword confidence
compute tomography volume, helical computed tomography, single - slice helical compute, tomography volume reconstruct, compute tomography, Favorable noise uniformity, highly nonuniform relative, noise uniformity property, helical compute, tomography volume, single - slice helical, volume reconstruct, uniformity property, highly nonuniform, noise
cellular mobile communication, realistic sized system, cellular mobile, mobile communication network, probability in cellular, sized system, dynamic channel assignment, channel assignment, block probability, mobile communication, hard to compute, compute for realistic, realistic sized, assignment block probability, channel assignment Blocking
galvanic array tool, modern galvanic array, array resistivity log, galvanic array, array tool, modern galvanic, tool via dimensional, dimensional reduction, neural network simulation, real - time inversion algorithm, real - time, neural network, network simulation, real - time inversion, inversion
convolution back projection, convolution back, back projection, paper report, simulate specimen, Image reconstruction, composite structure, cros - section of composite, projection This paper, back, reconstruction of simulate, report the reconstruction, reconstruction of cross - section, convolution, projection
experimental comparison, experimental datum, comparison The objective, highlight and discuss, discuss the difference, acoustic response, work present, numerical optimization, compare result, numerical, experimental, optimization, numerical and experimental, minimization of acoustic, acoustic emission
revisit hardy paradox, entanglement and weak, revisit hardy, counterfactual statement, real measurement, Hardy, paradox be revisit, paradox, Hardy paradox, revisit, statement, real, entanglement, revisit, Hardy scheme
drive strategic innovation, strategic innovation, innovation, drive strategic, law firm, law, drive, strategic, organization and attitude, initiative, attitude, firm, firm, entire firm, Marginal
current humanitarian assistance, humanitarian assistance, current humanitarian, major challenge, challenge in current, widely distribute, distribute and own, knowledge management framework, decision make, knowledge, humanitarian, framework, support decision make, management framework, knowledge management
payoff - switch differential game, game, differential game, payoff - switch differential, player, fuzzy, payoff - switching, time, reason, strategy, fuzzy reasoning, payoff, differential game base, reasoning strategy, differential
dichotomically stable integrator, dichotomically stable discretization, sharp boundary layer, dichotomically stable, Lobatto IIIA formulae, solve differential - algebraic equation, dichotomically stable implicit, stable integrator SYMDAE, Lobatto IIIA, ordinary differential equation, stable integrator, Multiple shooting, IIIA formulae, stable discretization, previous work
york city develop, direct current influence, York City, extensive underground direct, underground direct current, Edison direct current, power distribution system, Pearl Street Station, midtown Manhattan, city develop, direct current, thomas edison pioneer, edison pioneer pearl, pioneer pearl street, distribution system
famous american physicist, mechanical many - body dynamic, mechanical computing device, Richard Feynman, simulate quantum mechanical, quantum mechanical many - body, quantum mechanical computing, efficiently simulate quantum, famous American, american physicist, quantum mechanical, twentieth century, many - body dynamic, mechanical many - body, mechanical computing
