Guard said only Reef, Valdez and the Exxon, endanger the stability, needed to transfer, save the fish, chemicals to disperse, expected to arrive, require them to make, shoals off Massachusetts, Alaska chief environmental officer, Prince William Sound, oil, Exxon Valdez, Coast Guard, environmental officer criticized cleanup, Golob Oil Pollution Bulletin, spill, Saturday, crude oil, Alaska North Slope spilled
Morote and other Shining, considered the military strategist, government and install, units on the orders, Shining Path, Morote, Maoist rebel group, Path, Interior Minister Agustin Mantilla, Guzman, eight-year guerrilla war, Osman Morote is considered, Agustin Mantilla said Morote, capture of Osman Morote, Path leaders, Police, Maoist, military, Peru, organization. Abimael Guzman
system that is unfair, Thursday over the question, counts used in reapportioning, delay and complicate, breaking the laws, Lawmakers clashed Thursday, Census Bureau, illegal aliens, Constitution requires the Census, Indiana lost House seats, House, states, Rep, Thursday, Census subcommittee hearing, Constitution, counting illegal, Ridge, Subcommittee Chairman Mervyn, state gains a House
sites to determine, Air Force, Canadian air force base, Air, fighter jets crashed, Tactical Fighter Wing, West German police, Air Force European headquarters, Ramstein Air, Capt. Gail Hayes, force spokeswoman, German police spokesman Hugo, Base, aircraft, Wing at Hahn Air, air today and exploded, NATO military tactical air, German, fighter, Black Forest crash
situation. The blurb, monitor the potential, gave the number, June, Interagency Drought Policy Committee, USDA Drought Task Force, drought, USDA, thousand bird cages, handle worried callers, worried callers and issuing, paper a thousand bird, Policy Committee meets, Conservation Reserve Program, Lyng, establishes USDA Drought Task, Congressional Drought Relief Task, House Agriculture Committees, CRP, Department
National Forest, fire, Utah Zion National Park, Forest Service, acres, major fires in Wyoming, cabins on Freemont Lake, Tuesday, California Department of Forestry, Wyoming fire, Department of Environmental Conservation, Park, Forest in northwest Wyoming, Capt. Ray Wood, July, forest spokesman Fred Kingwill, Fourth of July, Upper Peninsula Tuesday, fires in Yellowstone National, fire Tuesday afternoon
allowed the reopening, continue to patrol, neighboring Yellowstone National Park, National Forest in Wyoming, steady rain Monday afternoon, provided a much-needed edge, rainfall in neighboring Yellowstone, Park calmed three smaller, hours of steady rain, Monday, fire, Monday afternoon provided, Hiawatha National Forest, National, acres, lightning-caused Shoshone fire, Shoshone fire growth, Forest Service firefighters brought, rain, firefighters
Three-quarters of an inch, entering the Du Noir, Utah battled holiday weekend, Yosemite National Park, National Forest, holiday weekend fires, forest, Utah scenic Zion National, California Department of Forestry, California, Delta County Sheriff Department, Chief Ranger Bob Andrew, Park, Wyoming and Utah battled, weekend fires which blackened, Firefighters, Mary Hale, Monday, wilderness, Forest Service spokesman Dale
shows the current, resulted in local, northwestern and northeastern, Ohio and Tennessee valleys, northern Great Plains, National Weather Service, Weather Service reported Thursday, Great Lakes region, Weather, drought, Mississippi Valley, Climate Analysis Center reported, Great, Valley, shifted eastward, Service, Plains and Rocky Mountains, nation, Texas, Ohio
stump is a clue, blame for a forest, quell as flames, grass to grow., snakes and disease, disease and controlled, protection as grassland, encourage the view, Forest Service, Mark Twain National Forest, Mark Twain, Smallwood, fire, Mark, charred tree stump, arson, Missouri Mark, Shea, Twain fires, people
percent, billion bushels, year, United States, USDA, resulting in higher retail, drought, crop, food, production, higher retail food prices, annual Agriculture Department survey, Department survey confirmed Thursday, Wilson, department Agricultural Statistics Board, President Reagan, wheat, total, corn, farmers
opposed to the Shining, responsibility for killing, lawyer for Osman, Shining Path, District Attorney Carlos Escobar, death squad opposed, soldiers massacred dozens, Path, Rodrigo Franco Command, massacred dozens of peasants, investigates charges that soldiers, charges that soldiers massacred, Path guerrillas, kill a district attorney, Andean city of Ayacucho, office said Tuesday, Carlos Escobar on Monday, Tuesday, threatened to kill, Path member
Western states, forest fire developments, developments in the Western, forest
today in a remote, Forces Japan Media Liaison, military jet crashed today, American military base, Media Liaison Office, pilot bailed out safely, northern Japan, Misawa, Liaison Office in Tokyo, Japan, American, pilot, Tactical Fighter Squadron, Tokyo, Fighter Squadron at Misawa, Iwate, miles, base, Iwate Prefecture, forested area
President Reagan warned Saturday, welfare legislation Congress sends, Labor Day weekend radio, welfare, work, learn to work, Labor Day, Labor Department showed unemployment, Downey, work requirement, President, bill, Americans, Congress, Reagan, welfare reform bill, quiring welfare recipients work, ago, Friday unemployment figures showed, people
Monday after two Navy, crewman tried to guide, practicing combat maneuvers, Atlantic Ocean off North, Ocean off North Carolina, Navy Atlantic Fleet air, Guard and Navy aircraft, Coast Guard and Navy, vessels today searched, Carolina while practicing combat, Naval Air Station, Navy aircraft and vessels, Navy, San Diego, crash Monday, jet, Gillespie Field, east of Oregon Inlet, Guard, Ocean
Sheets was n't skipping, director of the National, skipping a beat, National Hurricane Center, multitude of reporters fired, Bob Sheets, hurricane, reporters fired questions, director, destructive Hurricane Gilbert sprawled, named director in March, Bob, beat Tuesday, National, Gilbert, western Caribbean, Category, major, Center, Neil Frank
Gilbert the most intense, roofs and windows, blown away and shattered, build to very high, Hurricane Gilbert clocked, Hurricane, National Hurricane Center, Gilbert, Western Hemisphere, weather officials called Gilbert, Mexico Yucatan Peninsula, winds, Center, Labor Day, center meterologist Jesse Moore, pressure, mph, EDT on Tuesday, surge, storm
Hemisphere in terms, Director Bob Sheets remained, record-breaking fury sends Caribbean, sends Caribbean islanders scrambling, National Hurricane Center Director, Hurricane Gilbert record-breaking fury, islanders scrambling for cover, Center Director Bob, Bob Sheets, Hurricane, Sheets remained calm, Gilbert, fury sends, EDT Tuesday night, National, Bob, Center, pressure, western Caribbean, Category
work together to raise, told the opening, prices to strengthen, Roberto de Abreau Sodre, part Monday for perpetuating, World countries led, World, Abreau Sodre of Brazil, part Monday, Foreign Minister Roberto, indebted developing nation, countries led by Brazil, General Assembly, Monday in West Berlin, world most indebted developing, Brazil, Minister Gro Harlem Brundtland, Foreign, blamed the industrialized nations, Affairs Secretary Obed
run as fast, number of disturbances, Canadian Ben Johnson left, American Carl Lewis, Johnson left the Olympics, Johnson, accused of cheating, dash and stripped, International Olympic Committee President, Olympic, Ben, Canadian, York Kennedy International Airport, Dove-Edwin of Sierra Leone, drugs, Lewis, President Juan Antonio Samaranch, Prime Minister Brian Mulroney, Committee President Juan Antonio, airport
awaited the return, thanked the Jamaican-born, government accepted the validity, reporters in her yard, control the crowd, angry and saddened Tuesday, Johnson, national hero Ben Johnson, Canadians. Sports Minister Jean, British Colombia, Fergus Kilmartin, Sports Minister Jean Charest, Ben, Ben Johnson was stripped, Canada, American Carl Lewis, Minister Brian Mulroney, Olympic, Canada sole gold medal, Charest
bemoaned the fate, spoiled a gilt-edged, ducked into a car, made a mad, shirt over his head, asked what he felt, called the stripping, Johnson, Olympic gold medal, Canadian Olympic officials, homecoming in seclusion, Johnson spent his homecoming, illegal steroid Stanzolol found, gold, Olympic, Canadians bemoaned, Canada, Toronto, South Korea, flight
medal of the Olympics, Canada and a medal, hungry for a hero, brought the same sickening, escape the influence, believing the end, hockey superstar Wayne Gretzky, Ben Johnson Olympic gold, wounded Canadian pride, shamed a nation hungry, Wayne Gretzky getting run, Johnson, hero to replace hockey, replace hockey superstar, Olympic gold medal, stripping of Ben Johnson, Canadian, Pat Reid, Gretzky, Toronto Star
monitored the program, Olympic sprinter Angella Issajenko, fellow Canadian Olympic sprinter, Johnson, close close, Issajenko, Toronto Star newspaper quoted, steroids, Angella Issajenko was quoted, Olympics, Astaphan, interview published Sunday, Angella, quoted, Olympic gold medal, Ben, Canadian Olympic track physician, Ben Johnson knowingly, Canadian, South Korea
London to the tunnel, beneath the English, pursuing a dream born, tunnel, British Rail, white cliffs of Dover, English Channel, dream born in Napoleon, coming true, French, project, colossal tunneling machine, trains, feet, tunnel builders call, Kirkland, digging, train tunnels begins, Dover, London
capital of Bogota, Hurricane, Joan, National Hurricane Center, Colombia, Victor Leon Mendoza, Gross, San Andres, mph winds churned, Caribbean, storm, hurricane reached Central America, mph, winds, Monday, Atlantic, Joan center, unusual southern path, coast, potential strength
opens the door, afflicts the majority, test to detect, Zealand biochemist Garth Cooper, newly isolated hormone found, International Diabetes Federation Congress, Diabetes, Federation Congress in Sydney, common form, found in abnormal levels, disease, Garth Cooper, insulin, Type, hormone, Oxford University, levels, found, Diabetes Association, study
aborted a takeoff, touch the ground, Valley in October, Air Force Base, Senior Airman Tim Sanders, Sawyer Air Force, Air, Base, Force, Strategic Air Command, flames early today, burst into flames early, Sawyer, Airman Tim, crew, plane, crew members, base spokesman, Technical Sgt. Anita Bailey, Marquette General
raisng the death, remained in critical, base in Ramstein, Ramstein in August, top West German military, brigade leader Berthold Hoehler, national defense programs, Air Force, erode popular support, popular support for national, West, German city of Remscheid, central West German, Germany, Remscheid, Saturday, Air, people, military, people hurt in Thursday
Garza says the committee, Forest Service, scorched the West, National Park Service spent, Yellowstone National Park, Garza, Service handled last summer, handled last summer stubborn, stubborn wildfires that scorched, summer stubborn wildfires, hopes the House Interior, West, hearings, House Agriculture, Committee, Texas Democrat, including one-third of Yellowstone, National, Park, fires
Service and the National, open for public, burn forest fire policy, fire management plans, Western fire season, fire, National Park Service, Yellowstone National Park, national, burn, panel, fire renews forests, parks and wilderness areas, Park, plans, Park Service needed, report, Service, natural fires, Western
Pan American World Airways, World Airways Flight, Wednesday night in Lockerbie, crash of Pan American, developments today involving, today involving the crash, Scotland, people aboard, Lockerbie, Pan, American, World, Airways, Flight, Wednesday, glance, ground, today, involving, crash
abnormalities near the equator, appearing in Friday, weather outside the tropics, computer study reported Thursday, Atmospheric Research in Boulder, Pacific Ocean temperatures ranged, Friday issue of Science, Administration in Camp Springs, Climate Analysis Center, National Oceanic and Atmospheric, Oceanic and Atmospheric Administration, drought, temperature abnormalities, Pacific Ocean, jet stream, issue of Science magazine, Arkin, Thursday, center north of Hawaii, Camp Springs
allies to agree, agree to suspend, crashed near the heart, speeds and altitude, Air Force, Tactical Fighter Wing, Fighter Wing at RAF, burned in Britain, Britain this morning, Wing at RAF Bentwaters, Air, Thunderbolt jet in Europe, aircraft, Howard, Pentagon, plane, crash, routine training flight, Fighter, jet
rebel name for Guzman, Peru from its Andean, back his reactionary, forces. His Maoist, line the bone-dry, result of poverty, tens of thousands, follow the road, Shining Path, Path, Sendero Luminoso, started their bloody uprising, Andean base in Ayacucho, guerrillas, Lima, Andean, people, Guzman, Peru, rebel
pilot of a crashed, shut down an engine, engine, Authorities questioned the badly, British Airline Pilots Association, questioned the badly injured, Civil Aviation Authority, Federal Aviation Administration ordered, Midland Airways jet, badly injured pilot, shut, revealed no clues, pilot Kevin Hunt, jet undamaged right engine, Boeing, United States, flight, Aviation, engine monitoring systems, Air Accidents Investigation Branch
thought to the residents, counter a huge, grasses and smoldered, small Montana tourist town, Cooke City, Mrs. Smith, Silver Gate, City, Winter, fire, Mrs., northeastern corner of Yellowstone, unwelcome thought, Cooke City straggled home, National Park Service, forest fires threatened, Storm Creek and Clover-Mist, Yellowstone National Park, Gate, season
Long Beach, Council today asked county, Los Angeles, Jackson, today asked county prosecutors, Councilman Thomas J. Clark, police, county prosecutors to investigate, Long, Beach City Manager James, Angeles County district attorney, accordingly. Long Beach Mayor, Beach Mayor Ernie Kell, City Council today, Leadership Conference Los Angeles, Special Investigations Division, Beach Officer Mark Dickey, Hawthorne Police Chief Kenneth, attorney spokesman Andy Reynolds, Los Angeles commemorating King
Tuesday on the London, Ltd. and De Beers, Beers and other South, practices by a London-based, move against a stalled, decide to refer, London-based diamond cartel controlled, complaint alleging anti-competitive practices, Beers Consolidated Mines Ltd., Consolidated Gold Fields PLC, Office of Fair Trading, South Africa giant, Central Selling Organization, giant De Beers diamond, Monopolies and Mergers Commission, Corp. of South Africa, cartel controlled by South, South, Beers, Anglo American Corp.
heading toward the northeast, possibility of flooding, annual assault on America, nature most vicious spectacles, renew its annual assault, changeable spring weather breeds, National Weather Service, weather breeds the storms, Severe Storms Forecast Center, tornado, National, poised to renew, weather, normal tornado deaths, America, storms that spawn twisters, twisters, fewer than normal tornado, Climatic Data Center, South Carolina and Texas
including the strongest, earthquake, earthquake-related death toll worldwide, Chinese earthquake killed, Geological Survey reports, death toll, Survey reported Monday, Richter scale, Survey, year, toll, scale, reported, Armenia pushed last year, Chinese, people, highest level, people in Armenia pushed, significant, United States
AIDS virus, AIDS, tuberculosis bacteria, people, bacteria, study published today, HIV, medicine to prevent full-blown, study, Selwyn of Montefiore Medical, Montefiore Medical Center, England Journal of Medicine, Drug, medicine, risk, infected, AIDS virus and tuberculosis, Doctors, Drug abusers, percent
reduced the number, Colombia and Brazil, Observatory in Los Angeles, Griffith Observatory in Los, Tuesday as crowds gathered, eclipse, moon Tuesday, crowds gathered to watch, Solar telescopes yielded views, percent, partial solar eclipse visible, western North America, sun, yielded views of flare-producing, moon, California Institute of Technology, visible, partial, MST, watch a partial solar
tube for a diabetes, neighborhoods to randomly, team to relocate, finding the gene, Canada and Mexico, nurse Mary Perez inserted, Joanne Pierluissi raised, sleeve as nurse Mary, Perez inserted a needle, Mary Perez, Pierluissi raised her sleeve, Inside a small motor, Hispanics, Texas Health Science Center, small motor home, American Diabetes Association, Yale University diabetes researcher, San Antonio Hispanic, drawing blood, Stern
team to relocate, finding the gene, nurse Mary Perez inserted, Joanne Pierluissi raised, sleeve as nurse Mary, Perez inserted a needle, Mary Perez, Pierluissi raised her sleeve, Inside a small motor, small motor home, drawing blood, Texas Health Science Center, American Diabetes Association, diabetes, Yale University diabetes researcher, San Antonio Hispanic, Joanne, Hispanics, Native Americans, Mary
tablet that also reflects, visible at the time, hypothesis. The translation, made in China, total solar eclipse, eclipse, clay tablet found, reflects fear, Amsterdam and Leiden University, tablet, tablet found in Syria, Scientists missed, Syria Mediterranean coast, years, British journal Nature, solar eclipses visible, ancient observers, Dutch scientists, researchers, solar
city that for decades, deaths pushed the issue, knew the elderly, time the head, police, Minneapolis Police Department, Laux, decades has prided, reputation for racial harmony, officers, police misconduct, city, Minneapolis, department, Democratic National Convention, Hayden, hotel, city police chief, drug raid, Glover
spewed from a ship, aboard the vessel, tide pushed the crude, park a Cadillac, marks the second aniversary, shoals off Massachusetts, Prince William Sound, waters of Prince William, Exxon Valdez, North Slope crude oil, oil, Golob Oil Pollution Bulletin, William Sound have stymied, largest oil spill, Early Friday the Exxon, spill, Valdez Fisheries Development Association, Valdez City Manager Doug, Exxon officials plan, disperse the largest oil
Shipping Co. said Sunday, Sunday and the Coast, Valdez to the Exxon, caused the nation biggest, told The Associated Press, collided in Galveston, deployed at Galena Bay, expected to increase, Coast Guard, Exxon, tanker Exxon Valdez, Exxon Shipping, oil, Prince William Sound, Valdez, Sunday, nation biggest oil spill, mate Gregory Cousins, Alaska oil pipeline, oil spill
facts from the National, National Weather Service, Insurance Information Institute, April through June, Institute and news accounts, Service, Tornadoes, June, National, Weather, Information, Institute, tornadoes track southwest, track southwest to northeast, frequent from April, Illinois and Indiana, Indiana in March, accounts, month, April
Valdez said the ship, Iarossi also said Exxon, removing the source, put the brakes, Exxon Valdez, nation worst-ever oil spill, Exxon crews Tuesday finished, pumping the remaining crude, oil, spill, refloating and removing, Tuesday finished pumping, Alaska, ship, vessel, million, Prince William, Monday, Protection Administrator William Reilly, Exxon officials
feeling the effects, birds and threatening, landfall in large, virtually the entire, showed an amorphous, facility in Seward, insulation against the cold, Prince William Sound, miles of Alaskan coastline, Exxon, Alaskan coastline fouled, oil, Exxon officials Monday released, largest oil spill, Valdez, miles, oiled Gulf of Alaska, cleanup, Exxon plan calls, lightly oiled Gulf
expected the size, Peninsula through the Shelikof, bury the sludge, surges as high, Coast Guard Commandant Paul, Tuesday attacked Exxon plan, Commandant Paul A. Yost, Exxon, Yost on Tuesday attacked, oil, Boycott Exxon campaign, tanker Exxon Valdez, Exxon President William, Exxon Valdez accident, Alaskan oil spill, Alaska, Exxon Alaskan headquarters, Bay State Gasoline Retailers, spill, Exxon spokeswoman Sarah Johnson
health officials said Thursday, federal health officials, Centers for Disease Control, CDC, measures to curb, Disease Control cited, inmates, CDC Advisory Committee, times higher, tuberculosis, Thursday, Control cited a survey, York state, visitors. The CDC Advisory, prisons, urging testing, reported, infections, Jersey, cases reported in 1976-78
opening of the Atlantic, made it clear, clear it plans, adding that the service, past the Antilles, moving to coastal, preparing for Thursday opening, ever-growing coastal populations, Atlantic hurricane season, crucial to ever-growing coastal, hurricane, Air Force, North Palm Beach, Lewis of North Palm, Atlantic, Florida, Thursday, weather, Sheets, fly hurricane reconnaissance flights
chief of the Philippines', Philippines' major financial center, Suspected communist rebels today, Police Sgt. Lydio Zeta, Col. Herminio Taylo, escalation of street violence, street violence sweeping, Sgt. Lydio Zeta quoted, police, Mrs. Aquino, rebels today killed, Taylo, Army Col. James, police chief of Makati, People Army, sweeping the capital area, Security Adviser Rafael Ileto, today killed the police, capital region, Army
Bureau of Land, Fire, Forest Service, acres, Saturday, Land Management in Utah, National Forest, Boise Interagency Fire Center, burned, Service spokesman Dave Reider, Utah, hope Mother Nature, Mother Nature cooperates, spokesman, Fire Center in Idaho, Mary Plumb, Wyoming, miles, Diamond Peak fire, north
warned the break, forced biologists to rescue, fire, Mescalero Fish Hatchery, Forest Service, Gila National Forest, Mexico fire that polluted, Mexico, firefighters, Gila, Diamond Creek, acres, long-handled nets, National, Service Fire Staff, creek, rescue hundreds, contained, southwestern New Mexico, Gila trout
matter into the hands, vote when the Constitution, Mosbacher the assignment, state. Neither the original, illegal aliens, census, House seats, amendment, Supreme Court, states, count, Sun Belt states, Shelby, Bureau testimony to Congress, Sen, apportionment, Senate voted, Census Bureau maintains, immigration bill, question
intend to allow felons, constitution used to guaranteed, Cumberland County Superior Court, Superior Court Justice Stephen, Maine Supreme Court upheld, bear arms, Edward Brown of Cumberland, Justice Stephen L. Perkins, felon against Edward Brown, Maine, amendment, judge ruled, Perkins, General James E. Tierney, Perkins on Friday dismissed, state constitutional amendment, Brown, Legislature enacted a constitutional, Cumberland, Friday dismissed a charge
candle to the damage, year record-breaking fire season, flare-up of Western wildfires, contiguous United States, hold a candle, damage wrought, fire, fire season, Sacher, year, Western, Western forest and range, million acres, fire officials said Monday, dry August could change, week flare-up, Yellowstone National Park, range land since January, National Weather Service, dry
raised in committee, aid to local, empowered to identify, House, major issue hanging, Census, aliens, states, Constitution requires House seats, counting illegal aliens, House blocked an effort, Congress is arguing, illegal, effort Tuesday to require, Rep, House reapportionment, military personnel stationed overseas, count, million, people
center of the hurricane, increases the threat, flooding in Texas, Puerto Rico, Virgin Islands and Puerto, eastern Caribbean, National Weather Center, Puerto Rico advised residents, Hurricane, Rico, Islands, San Juan, nightfall the National Weather, Wednesday, Atlantic season Wednesday, Dean, Center, Weather Center in Puerto, Virgin, storm
electricity is again surging, expert to fly, Atlanta to LaGrande, fields a caller, finds the crews, Boise Interagency Fire Center, nation wildfire command post, set the West ablaze, Fire Center, Fire, Fire Center spokesman Arnold, West ablaze this summer, direct the nation wildfire, West, nation, Reed Jarvis, logistics center marshal resources, Idaho, California and Utah, coordinator Lynn Findley
rest got the message., support of tens, enforce a hyper-Christian, Maoist Shining Path guerrillas, Shining Path, dominate Peru Upper Huallaga, Tingo Maria, Upper Huallaga River Valley, Path, Valley, Shining Path political officer, Path guerrillas who dominate, violence-ridden region, Huallaga, cab driver David Nicolas, coca, rebels, guerrillas, Maoist, Peru
Institute of Technology, destructive path Hurricane Hugo, South Carolina coast, hurricane, Oceanic and Atmospheric Administration, flee the South Carolina, Hurricane Hugo would follow, National Oceanic and Atmospheric, Atmospheric Administration satellite service, Hugo, giving people plenty, hurricane forecasters predicted, National Meteorological Center, models, forecasting, Hugo path into Charleston, satellites, track Hugo path, forecasters predicted the destructive, path
segregation in the nation, nation third-largest city show, report detailing widespread segregation, days of racially charged, racially charged hearings, Daley, city, police, police brutality, elected mayor April, City Council hearings Thursday, black, City Council, mayor, white, Northeastern Illinois University, heal some old wounds, Richard, Chicago, late Harold Washington
emphasized the increasing, world-class sprinter knocked, sprinter knocked off track, track and field pedestal, field pedestal after testing, Ben Johnson here. Lewis, Johnson, Olympic gold medals Johnson, Lewis, steroids, health. Watching Johnson, medals Johnson lost, Lewis told reporters, muscle-building substance, caught in Seoul, testing positive, substance, pony-tailed Lewis told, legislation, compete with Carl Lewis
earthquake in this area, California on the San, kinds of older, Geological Survey Earthquake Center, Northern California, San Francisco Bay area, Southern Santa Cruz mountains, major earthquake, region seismologists targeted, Allen, area, San Andreas Fault, Bay area Tuesday occurred, Santa Cruz, probability, Richter scale, San, quake, Clarence Allen, struck the San Francisco
shook the Solomon, world in five months, Francisco Bay area Oct., San Francisco Bay, USGS spokesman Don Finley, Geological Survey, South Pacific today, earthquake, Pacific Tsunami Warning Center, major earthquake registering, Richter scale shook, damage, Solomons, Macquarie Islands south, earthquake struck the islands, EDT Friday, Warning Center in Honolulu, Don Finley, Islands, area Oct.
victims of a tornado, country from worried, Rescuers crawled through collapsed, rescue worker Bob Caraway, tornado, National Weather Service, people, stretch of destruction, collapsed homes and shops, power lines, Huntsville, injured, tornado struck Huntsville, dead, twister, car, National, Deep South, damage, Wednesday
hundreds homeless since Wednesday, tornadoes and severe thunderstorms, left hundreds homeless, thunderstorms that have killed, Wednesday, people, injured, tornadoes, severe, killed, left, hundreds, homeless
federation since the death, accept a comprehensive, attempt to bring, Serbia decision Tuesday, decision Tuesday to ban, Slovenia, leader Josip Broz Tito, Serbia, oust us from Yugoslavia., Yugoslavia. The statement, south and east, northern republic of Slovenia, presidency called Serbia action, Slovenian Serbian conflict, Yugoslav President Janez Drnovsek, Tuesday, Serbian communist leadership, economic contacts with Slovenia, Slovenia collective presidency called, rally
largest disaster relief measure, Washington where politicians pushed, drought captured attention, found the money spread, Washington, Press went back, pushed through the largest, America, history, drought, back to track, captured, attention, politicians, pushed, largest, disaster, relief, measure, billion went and found
harder than in North, North Dakota, upper Midwest, hit hardest, billion disaster aid program, disaster relief aid, aid program helped farmers, drought, hit, upper, aid, Cashing, four-part series, state, relief, examines, billion, story, program, farmers
whites, blacks, Black Americans suffer, study, bacteria, Stead, important reason, Americans suffer six times, people, percent, George Comstock of Johns, tuberculosis, Comstock of Johns Hopkins, Johns Hopkins University, found, Stead study found, National Institute of Allergy, Arkansas, disease, difference
poor or to developing, AIDS experts said Saturday, AIDS, recent advances have made, AIDS epidemic, tuberculosis, panel of AIDS experts, Vermund, William Haseltine, Saturday, Cancer Institute in Boston, Dana-Farber Cancer Institute, vaccine, made clear, AIDS vaccine looked, Advancement of Science, Institute, American Association, AIDS patients into remission, Infectious Diseases in Bethesda
Thomas as a federal, support to defeat, born in poverty, poverty in rural, Senate today confirmed conservative, federal appeals judge, Thomas, Circuit Court of Appeals, Equal Employment Opportunity Commission, official Clarence Thomas, Senate today, Senate Special Committee, Sen, District of Columbia, Reagan and Bush administrations, confirmed, Pryor, appeals, Danforth, nomination
oil from the Exxon, Department of Environmental, year after the wreck, frozen in five vans, oil, Exxon Valdez, spill, Prince William Sound, percent, beaches, worst oil spill, impress Joe Bridgman, Sound, state officials, Environmental Conservation, Exxon scientist Andy Teal, wave-washed beach, state, wildlife, Alaska Department
Disease Control reported Thursday, federal health researchers, stopped amid the continuing, Centers for Disease Control, national Centers for Disease, continuing threat, percent, cases, tuberculosis, CDC, AIDS, Hispanics, steady decline, reported, Asians and Pacific Islanders, percent average annual decline, tuberculosis cases were reported, compared, blacks, whites
throw from the smelly, diamonds from De Beers', loosen its grip, fighting the lackluster, smelly Smithfield meat market, attention of Londoners hurrying, Beers' South African interests, diamond, Beers, South Africa, Beers Consolidated Mines Ltd., Organization, Soviet Union West-bound diamonds, percent, Beers diamond empire, year, world, stone throw, attract the attention, Smithfield
lack of effect, industry and raised fears, Mad cow disease, Britain cattle industry, BSE, cattle, safety of eating beef, Agriculture, Britain, government insists the disease, animal, Professor Sir Richard Southwood, Martin Raff, government, sheep, cow disease has killed, food, Sir Simon Gourlay, report, wonder. Mad cow
Exxon Valdez oil spill, cleanup and related developments, chronology of the Exxon, Exxon, Valdez, spill, developments, oil, cleanup, related
International Community Assistance, Foundation for International Community, promotes village banking, John Hatch, village banking to encourage, encourage private enterprise, non-profit Foundation, Assistance, founder of the non-profit, International, Community, world poverty through bootstrap, John, founder, promotes, World, bootstrap economics, village, banking, encourage
fall from a horse, listed as stable Thursday, Actress Elizabeth Taylor, Miss Taylor, Health Center, Daniel Freeman Marina Hospital, Lisa Del Favaro, Chen Sam, Chen Sam and Associates, Elizabeth, Thursday, Miss, John Hospital, York City, Taylor health problems, hospitalized, Clinic in Rancho Mirage, Taylor spokeswoman with Chen, John, Betty Ford Clinic
