gas algorithm Recent, algorithm Recent theoretical, fluid dynamic problem, recent theoretical result, quantum lattice gas, solve fluid dynamic, lattice gas algorithm, Recent theoretical, theoretical result suggest, quantum information processor, information processor communicate, lattice gas, communicate via classical, classical channel, fluid dynamic
global structural representation, whilst incorporate accurate, incorporate accurate blackbox, model identification methodology, whilst incorporate, grey - box model identification, compute this paper, paper present, methodology that make, priori knowledge, dominant structural identification, accurate blackbox model, global structural, local nonlinearitie, evolutionary computing
automatic generation control, generation control, generation control parameter, present a method, method base, power system, optimization of automatic, control, control parameter, automatic, power, generation, genetic algorithm, paper present, genetic approach
feature and functionality, improve business process, efficiency and profitability, improve business, business process, huge impact, company efficiency, choose, business software, business, software, vendor, profitability, software feature, improve
application environment, environment be exceedingly, exceedingly dynamic, workflow monitor, multi - agent collaboration, workflow, problem, dynamic and competitive, monitor, application, competitive, change process requirement, collaboration, environment, exceedingly
web - base enterprise resource, enterprise resource plan, resource planning system, web - base enterprise, critical business datum, enterprise resource, resource plan, analysis for web - base, central nervous system, synergic analysis, central nervous, manage an organization, organization mission, mission and critical, e - business implementation
Salt River Project, initiative Reliability planning, management initiative Reliability, Salt River, asset management initiative, cost benefit model, Reliability planning analysis, Reliability planning, srp roll, cost benefit, asset management, SRP, roll out reliability, reliability and asset, srp want
background gradient compensation, z - shim background gradient, multiecho segment epi, gradient compensation, z - shim background, background gradient, segment epi, severe susceptibility artifact, pulse sequence, compensation, functional MRI, epi with z - shim, segment, propose and validate, suffer from severe
rate of change, change of phase, complex Schur polynomial, circle traverse counterclockwise, complex Schur, unit circle traverse, schur polynomial, strictly positive, condition for schur, Schur, real polynomial evaluate, unit circle, phase condition, Phase, real
application multiresolution analysis, Multiresolution analysis, level of detail, wavelet, efficient tool, tool for represent, multiple level, MRA, Multiresolution, four - point, four - point wavelet, analysis, wavelet provide, represent function, four - point subdivision scheme
intensity modulate radiation, modulate radiation therapy, neoplasm with intensity, intensity modulate, millennium multileaf collimator, radiation therapy, multileaf collimator leaf, imrt treatment plan, head and neck, CNS, IMRT treatment, dose, neck neoplasm, MLC treatment delivery, dynamic MLC treatment
flexible manufacturing system, fix production ratio, production ratio determine, Production capacity, manufacturing system, fix production, capacity of flexible, important issue, Production, ratio determine, determine the production, maximum production rate, capacity, flexible, part type
arterial spin labeling, arterial spin, oxygen - enhance and arterial, spin labeling, spin labeling technique, signal intensity, study investigate, healthy volunteer, arterial, intensity in human, ASL, ventilation - perfusion ratio, spin, oxygen - enhance, label
laser - base internal profile, automatic laser - base system, internal profile measurement, internal profile, laser - base system, profile measurement system, measure the internal, system, internal, laser measurement meter, laser - base, measurement, rotate optical device, floor, point laser source
large - scale model predictive, model predictive control, predictive control Quadratic, control Quadratic programming, quadratic programming algorithm, model predictive, large - scale model, mpc application, control Quadratic, important element, Quadratic, challenge mpc application, MPC, predictive, model
war game, network security, tip of tongue, terror group, group could target, target your network, Qaeda, network, War, game, truth, security, world, find, tip
bane or boon, law report, law, transcript, report, bane, boon, statutory system, system, efficient system, judge - make law, immediately accessible, decision go unreported, nature, codify
financial, FinancialContent, Web, site name financialcontent.com, content, credibility be king, expect to find, web site, financial information, individual Web, site, information, distribute, site name, Credibility
FCC Chairman Michael, Chairman Michael Powell, commerce committee tell, michael powell pitch, six - step market - base recovery, market - base recovery plan, telecom revival require, FCC Chairman, Michael Powell, committee tell, reliance on regulation, powell pitch, pitch a six - step, six - step market - base, recovery plan
computer science, computer, science, computer science major, science major, open letter, Surely, respective institution, major, woman, Open, letter, attractive, monitor with great, great interest
current - program regulator uncertainty, regulator uncertainty model, basic switch - mode converter, Robust stability analysis, basic switch - mode, delta, model, Robust stability, uncertainty model, buck, boost, structure dynamic uncertainty, analysis, Robust, Uncertainty
relational type characterize, study indiscernibility relation, indiscernibility and complementarity, information system, complementarity relation, first - order condition, duality result, structure of relational, relational type, type characterize, first - order characterization, modal logic, complementarity, study indiscernibility, relation and complementarity
totally dual integral, cycle - vertex incidence matrix, feedback vertex set, vertex set problem, linear system, dual integral, all - one vector, sufficient condition, totally dual, incidence matrix, vertex set, bipartite tournament, set problem, min - max theorem, cycle packing problem
single pass turning, pass turn operation, economic cutting condition, single pass, cut condition, pass turn, deterministic optimization approach, deterministic approach, operation be present, economic cutting, optimization analysis, single, Optimization, condition, pass
profile edge lamination, tool profiled edge, profile edge, lamination tooling profile, promise rapid tooling, PEL tooling development, edge lamination tooling, simultaneously profile, intend tool surface, edge lamination, top edge, comprehensive PEL tooling, CAD model, profile, tool development system
user find workflow, process management software, management software appeal, business process management, Keen but confused, straightforward to implement, find workflow, content management, user find, business process, software appeal, process management, workflow, content, pat sweet report
customer relationship management, approach zenith, manufacturer be start, start to warm, concept of customer, customer relationship, crm software evolve, CRM, CRM software, approach, management, big business, zenith, manufacturer, start
important windows - base application, tax service peterborough - base, peterborough - base tax consultancy, taxguard want real - time, safeguard tax service, consultancy IE Taxguard, taxguard want, important windows - base, peterborough - base tax, server safeguard tax, want real - time failover, real - time failover protection, protection for important, safeguard tax, tax service
nest petri net, model dynamic object, petri net nest, net nest petri, allow token, nest, dynamic object, object in distribute, represent by mark, net nest, Petri, model dynamic, system, distribute system, petri net
local neighbourhood information, Adaptive image enhancement, retinal blood vessel, adaptively estimate base, segmentation Retinal blood, vessel segmentation Retinal, retinal blood, blood vessel image, nonstationary background, blood vessel segmentation, Adaptive image, enhance by remove, remove the nonstationary, estimate base, base on local
accelerate business process, business structure accelerate, structure accelerate business, business process demand, accelerate business, process demand, distribute business structure, knowledge database, Efficient allocation, accelerate, information system, information, business structure, transform individual knowledge, collaborative information space
Boost Graph Library, Boost Graph, Graph Library, author apply boost, apply boost graph, apply bgl, Graph Library graph, computational geometry, Graph, BGL to computational, Boost, Library, apply boost, author apply, Library graph
constraint satisfaction problem, satisfaction problem, csp search algorithm, numeric csp search, accelerate filter technique, csp search, make an extensive, filter technique, accelerate filter, numeric csp, Constraint, problem, Search, Satisfaction, filter
Virtual Development Center, Development Center, Development Center program, seek to significantly, significantly enhance, Development, Technology, Center, technology seek, Virtual, woman, institute for woman, Institute, enhance the impact, develop need - base technology
access matter discuss, include accessible web, matter discuss accessibility, accessible web site, TTY access, people with disability, client to resource, web site, accessible Web, refer client, access matter, Braille, ada legislation require, TTY, discuss
provide competitive advantage, manufacture technology innovation, appropriately implement, provide competitive, manufacture, manufacture technology, Exploratory study, technology innovation, common questionnaire, technology, USA, study, advanced manufacturing, adoption of manufacture, present study compare
South Africa transition, South Africa, policy support freedom, adopt policy support, develop policy, africa follow south, South, Africa, access to information, access, support freedom, freedom of expression, information, adopt policy, Work in progress
network without wire, thin air, wire several type, type of device, device use radio, radio transmitter, transmitter to send, send datum, datum over thin, network, air, wireless local area, local area network, area network, wire
produce entangle spin, entangle spin squeeze, spin squeeze state, propose a method, method to produce, entangle spin, spin squeeze, inside an optical, atom, kappa Gamma, atom cavity coupling, optical cavity, cavity, entangle atom, atom inside
chest radiographic report, natural language processing, chest radiographic, natural language, evaluate translation, compare the finding, narrative chest radiographic, radiographic narrative report, translate clinical information, report, radiographic, chest, language, natural, translation of chest
risk attitude, subconscious priming, choice preference, attitude we present, subconscious, attitude, prime, Experiment, risk, preference, present a procedure, Choice, prime procedure, procedure, preference without inference
self - organize context - base approach, recall complex spatiotemporal, complex spatiotemporal sequence, neural network design, context - base approach, tracking of multiple, design to learn, learn and recall, recall complex, multiple robot trajectory, combine competitive, competitive and Hebbian, sequence, neural network, network design
spatial normalization, base affine registration, affine transformation, intensity base affine, affine registration include, base affine, include feature similarity, similarity for spatial, spatial, normalization, brain, affine, intensity base registration, intensity base, base registration method
logic be base, information be codify, high level, controller stochastic logic, random pulse sequence, pulse, finite sequence, pulse sequence, random pulse, Stochastic logic, pulse stream, digital processing, Digital, sequence, Boolean algebra
approach analysis push, metamodelle approach analysis, push and pull, analysis push, pull system, transportation consideration, Comparison of push, system, pull, analysis, push, multistage production system, transporter, time, Comparison
legal information professional, Cat and class, legal information, information, legal, skill, classification skill teach, Cat, class, professional, skill teach, information study, article, catalogue and classification, law firm librarie
current mirror operation, current - mode algorithmic, converter error limit, mirror operation, relate to current, current mirror, error limit, resolution of current - mode, current - mode, algorithmic, converter error, systematic error, error, Resolution, limit the resolution
size - resolve cloud model, cloud drop lead, cloud model, phase, existence of cloud, cloud drop, cloud, multiphase chemical system, gas phase, chemical specie, phase chemistry, aqueous phase, aqueous phase chemistry, phase transfer, transfer
colocate feedback controller, paper we propose, propose a special, special type, type of colocate, colocate feedback, Resonant, smart structure, resonant controller, feedback controller, resonant circuit, smart, parallel combination, controller, structure
Commercial and Technical, public business library, Technical Library, leed public library, british standard information, chapter trace, trace the history, Public Commercial, business information service, Public business, Library, mainstream business information, business information, public library, business library
eliminate redundant task, process pioneer, infrastructure along so - call, organisation can streamline, increase automation, agile business, business process, manage it infrastructure, redundant task, task and increase, line, streamline their business, Process, pioneer, agile
perform text independent, computationally simple method, utterance level scoring, text independent speaker, order statistic, level scoring, model this paper, paper describe, describe a computationally, perform text, text independent, text - independent speaker verification, call utterance level, utterance level, simple method
couple electron - photon transport, clinical accelerator target, clinical electron accelerator, Boltzmann equation, Monte Carlo, slab geometry, monte carlo calculation, transport in one - dimensional, accelerator target, monte carlo method, energy spectra produce, compute photon energy, propose to compute, equation for couple, couple electron - photon
open source, network dominate today, secure, dominate today compute, today compute landscape, protection, technology, open, source, attack technology, commercial technical protection, technical, dominate today, today compute, landscape and commercial
equivalent electronic circuit, electronic circuit, system be simulate, cardiovascular system, cardiovascular physiology, heart, cardiovascular, diastolic, circuit, system, simulate, equivalent, electronic, leave ventricular relaxation, Simulation
well - establish multipulse topology, high - power converter topology, multilevel topology, converter topology, multipoint clamp, transmission system, nest cell, multipulse topology, comparison of high - power, paper compare, flexible AC transmission, topology, power flow controller, fact, fact controller
limit labour constraint, automate manufacturing cell, tear - down and load, work sequence, manufacture cell, constraint this study, study focus, today automate manufacturing, limit to setup, utilization be limit, group scheduling heuristic, limit, limit labour, labour constraint, labour utilization
heat equation, equation with nonlocal, nonlocal boundary condition, paper deal, numerical solution, boundary condition, heat, equation, solution, nonlocal boundary, integral boundary, resolvent condition, semidiscrete problem, sectorial resolvent condition, one - step method
santera target independent, include independent telco, major strategy overhaul, capital expense budget, slash capital expense, next - generation switch platform, santera system, calif - base kerman telephone, big carrier slash, carrier slash capital, santera target, system be broaden, independent telco, expense budget, major strategy
chemical mechanical polishing, physics - base cmp modeling, physically base comprehensive, establish the discipline, past decade, semiconductor industry, discipline of physics - base, chemical mechanical, mechanical polishing, polishing have elude, elude the semiconductor, base comprehensive process, comprehensive process model, physics - base cmp, CMP modeling
judgment, eliminate recency, self - review, debias recency, auditor, recency, concern, audit, paper examine, staff auditor, staff, auditor ' judgment, choice, eliminate, concern judgment
robot to adapt, adapt to change, simulate run jointed, joint leg pose, difficult control problem, joint leg run, run jointed leg, pose a difficult, difficult control, scalable intelligent takeoff, intelligent takeoff controller, simulate run, joint leg, joint, leg pose
low encoding, paper propose, propose a versatile, capable of low, versatile perceptual audio, audio code, perceptual audio code, audio, decode delay, Perceptual audio, code, high compression ratio, achieve high compression, lossless, delay
signal processing application, angle quantization approach, vector rotational CORDIC, quantization approach Vector, approach Vector rotation, digital signal processing, angle quantization, key operation employ, operation employ extensively, Rotational CORDIC Family, CORDIC Family, CORDIC, rotational, employ extensively, signal processing
viscosity solution technique, deterministic control problem, run cost, solution technique, cost be study, study by viscosity, viscosity solution, Homogenization of deterministic, Homogenization, deterministic control, Birkhauser Boston, effective Hamiltonian, Stochastic Analysis, Hamiltonian, periodic micro - structure converge
trail edge flap, reduce unwanted helicopter, unwanted helicopter noise, current rotorcraft research, edge flap, blade trail edge, tube actuator, flap, piezoelectric tube actuator, actuator, rotor blade trail, edge, trail, edge flap actuator, active rotorcraft vibration
nas parallel benchmark, NAS parallel, HPF, na, implement all na, well - know benchmark set, compile and implement, HPF version, high - performance fortran, hpf the na, NPB, benchmark, HPF compiler, high - performance machine, high - performance
Dynamic modification, object petri net, petri net, high - level petri net, object - base high - level petri, Petri, modification of object, model protocol, net, Dynamic, object net formalism, object net, modification, object, model
channel code, scheme for joint, channel, joint source, lapped transform, code, efficient lapped transform, block classification, Source, code of image, image, propose, image be propose, traditional source, channel - optimise robust quantiser
process design, energy consumption, electropneumatic field, field This article, article propose, modify with respect, specification for position, position and velocity, velocity tracking, control strategy, application in electropneumatic, process be modify, industrial bench test, process, nonlinear control law
semidefinite feasibility problem, feasibility problem arise, feasibility problem semidefinite, problem semidefinite feasibility, symmetric positive semidefinite, semidefinite matrix Gamma, Gamma, analytic center cutting, center cut plane, analytic center, cut plane method, cut plane, operation research, positive semidefinite, area of operation
signal analysis technique, wear and failure, test and report, indirect monitoring method, monitor method, tool condition monitoring, failure monitoring, signal analysis, monitor, analysis technique cover, method, method apply, summary, tool wear, Wavelet Transform
sacrifice quality, weld, industry be drive, arc welding, deep narrow penetration, double - sided arc welding, arc, deep narrow, welding process, weld industry, achieve deep narrow, improve welding productivity, double - sided arc, improve, achieve deep
sbc communication, communication last week, regulatory compliance effort, SBC, week create, bring a cohesiveness, cohesiveness and efficiency, effort that previously, land fcc approval, compliance effort, FCC approval, compliance unit, regulatory, compliance, land fcc
provide numerical measure, potential and performance, numerical measure, capability index, process capability index, Maple computer program, capability, calculate the p - value, capability index call, pmk, provide numerical, process potential, testing process capability, process capability, index
time pass, hardware and software, software replace, block, pass, upgrade practicality, kit, time, hardware, software, replace, dalrymple examine, upgrade, reseller and consultant, Dalrymple
evaluate alternative manufacturing, dynamic job route, distribute control system, describe an investigation, effect of dynamic, alternative manufacturing control, evaluate alternative, alternative control strategy, job sequence decision, control strategy, control, manufacture control strategy, paper describe, system, benchmark manufacturing system
appearance to conform, GUI library Swing, provide software developer, highly customizable framework, library Swing provide, make swing component, GUI library, Swing provide software, run time, International swinging, swing component locale - sensitive, highly customizable, framework for create, automatically change, Swing library
reach potential customer, cheap Web technology, potential customer, Web talk, cheap Web, Web technology, talk be cheap, wealth of opportunity, opportunity for reach, reach potential, Web, customer, talk, cheap, wealth
wavelet packet basis, wavelet packet, operator diagonal, average over translation, packet basis, wavelet, packet, show, basis we show, diagonal, convolution, operator, basis, permit, average
Carnegie Mellon University, Carnegie Mellon experience, university be woman, Mellon University, Carnegie Mellon, Carnegie Mellon School, unlock the clubhouse, student enter, enter the undergraduate, undergraduate program, Mellon experience, computer science, Carnegie, University, Mellon
Efficient cellular automata, cellular automata base, programmable cellular automata, low - complexity programmable cellular, automata base versatile, base versatile modular, versatile modular multipli, Efficient cellular, base versatile, automata base, programmable cellular, PCA, propose versatile multipli, versatile multipli increase, multiplier
automatic attack construction, find potential attack, security protocol, paper propose, propose an automatic, find potential, strand space model, security, strand space, dynamic strand space, order to find, attack construction algorithm, space, space model, algorithm
modulate radiation therapy, treatment planning typically, intensity modulate radiation, incorporate multi - leaf collimator, iterative IMRT optimization, optimization intensity modulate, beam delivery, MLC, optimization, multi - leaf collimator, collimator leaf sequence, beam delivery device, IMRT optimization Intensity, radiation therapy, separate task
Vehicle travel time, agv system, travel time model, agv - base material handling, material handling system, variable involve, travel time, highly complex, large number, number of variable, model for agv, Vehicle, AGV, agv - base material, material handling
virtual reality grade, reality grade exposure, grade exposure therapy, reality grade, virtual reality, exposure therapy, grade exposure, equally efficacious, fear of fly, imaginal exposure, efficacious, VRGET, treatment of fear, exposure, therapy
global invariant set, stable stationary state, three - dimensional nonlinear chaotic, time - periodic orbit, invariant set, state or time - periodic, control, nonlinear chaotic system, steer trajectory, energy, paper present, energy base, nonlinear chaotic, approach, system
team software development, Knowledge flow, distribute team software, neglect in current, team software, Knowledge, team, software development process, Cognitive cooperation, current team software, flow, software development Cognitive, development Cognitive cooperation, development, software
structure and parameter, Network Markup Language, neural network, neural network model, neural network exchange, train neural network, exchange This article, article introduce, introduce a framework, interchange of train, neural, network, Markup Language, train neural, network model
Taiwan power company, power company phase, Taiwan power, power company, City District Office, privatization and deregulation, Taipei City District, company phase, face the challenge, challenge and impact, inevitable trend, trend toward privatization, power, Taiwan, facility management
efficient and stable, propose an efficient, find ray - surface intersection, parametric surface, find ray - surface, stable algorithm, Newton method, Newton, stable, efficient, bezier clip, algorithm, stable ray, stable ray tracing, algorithm for parametric
frame as short, trajectory time - resolve contrast - enhance, time - resolve contrast - enhance imaging, projection trajectory time - resolve, trajectory time - resolve, gain in popularity, time - resolve, resolution, contrast - enhance, isotropic, contrast - enhance imaging, projection trajectory, projection, MRA, method have gain
groove network, Ray Ozzie, network, Information Age, Groove, CEO and chairman, Massachusetts company, connection age, produce collaboration software, Age, Ozzie, information technology, chairman of Groove, match technology, CEO
qw executive shed, executive shed light, carrier controversial deal, real story, shed light, controversial deal, Calpoint, telecom, Qwest, check from Quest, story behind Calpoint, deal with Calpoint, real, story, executive
bring to light, woman of color, computer engineering, computer science, increase the number, area of compute, woman, science and computer, computer, color, find the number, compute, color base, woman of under - represent, engineering
nonlinear time - invariant input - output, nonlinear time - invariant, time - invariant input - output dynamical, Lyapunov function, dynamical system, storage function, passive dynamical, dynamical, Lyapunov, system, passivity condition, Storage, lyapunov function satisfy, passive dynamical system, function
rydberg - atom datum register, rydberg - atom datum, quantum - state information retrieval, subpicosecond half - cycle electric, retrieve phase information, half - cycle electric field, electric field pulse, quantum search protocol, datum register, analyze a quantum, protocol to retrieve, information retrieval, phase retrieval, phase information, electric field
stochastic averaging approach, nonlinear system, feedback stochastic control, Ito stochastic differential, stochastic average, feedback control design, feedback control, random excitation, excitation this paper, paper present, design and quantifying, amplitude process, stochastic differential equation, Ito stochastic, average approach
woman in compute, undergraduate level, world This paper, paper describe, compute, woman, participation, affect woman participation, level, affect woman, world, paper, describe, focusse, undergraduate
quantum full adder, scalable nuclear spin, chain quantum computer, nuclear spin quantum, full adder, quantum full, spin chain quantum, strategy for implementation, quantum, nuclear spin, implementation a quantum, full, spin quantum, adder, spin chain
web service, Web, call web service, wrinkle, innovation call web, call web, internet - relate innovation call, financial sector produce, technology, wave of internet - relate, service, economy year, Hmm, share of technology, technology hype
product - support logistic system, agent - base product - support logistic, maintenance service, service part, provision of maintenance, competitiveness of industrial, logistic system, timely provision, Resource Description Framework, product - support, industrial system, logistic, service and service, RDF, XML and RDF
abelian branch covering, finite abelian group, weak equivalence class, m - branch point, branch covering, weak equivalence, obtain an enumeration, finite abelian, abelian group, abelian branch, enumeration formula, sphere We obtain, sphere with m - branch, sphere, number of weak
matrix operator rho, simple mixed state, mix state characterize, special entangled state, fully entangle state, unity matrix, Frontier between separability, operator rho, system We discuss, simple mixed, separable state, mix state, phi, fully random spin, spin system
Electronic Case File, Case File system, do dog day, successful e - filing venture, Case Management, Case File, Management and Electronic, do dog, File system, united states court, law firm, e - filing venture, dog day, poster child, system now roll
time delay control, integral slide surface, robotic excavator, heavy - duty robotic excavator, slide surface, heavy - duty excavator vary, robotic excavator increase, mechanical structure, integral sliding, time delay, variation in mechanical, nonlinearitie in hydraulic, hydraulic actuator, actuator and disturbance, disturbance due
discrete chaotic process, finite sample, estimate discrete chaotic, discrete chaotic, approach be discuss, Optimal estimation, optimal algorithm, chaotic process, sample be consider, synthesis of optimal, sample, finite, discrete, Optimal, chaotic
operator approach develop, bound operator approach, construction of two - sided, paper extend, approach develop, develop for boundary, bound operator enclose, initial - boundary value problem, operator approach, two - sided bound, initial - boundary, operator enclose method, bound operator, problem, case of initial - boundary
article define knowledge, discuss its role, describe its function, Knowledge management, article define, Knowledge, management, define knowledge, discuss, role, function, article, define, describe, involve
modify genetic algorithm, stochastic search procedure, search procedure base, develop near - optimal topology, Truss topology optimization, genetic algorithm, load - bear truss structure, modify genetic, Truss topology, stochastic search, procedure base, develop near - optimal, near - optimal topology, topology of load - bearing, load - bear truss
classify thing, Taxonomy, content, Taxonomy role, content management, thing, management, role, simply, classify, create yahoo, relate application, rapidly grow list, vendor offer taxonomy, offer taxonomy software
Commerce Department plan, department plan ease, spectrum - starve wireless carrier, federal government make, wireless carrier fear, spectrum allocation system, third - generation service, plan ease, crunch The federal, government make, week toward clean, allocation system, year ago, wireless carrier, carrier fear
garnett foundation commission, Garnett Foundation, Backyard Project, Global Strategy Group, encourage high school, high school girl, prime the pipeline, high school student, computer science career, pilot program, college - bind high school, institute to encourage, high school, encourage high, Strategy Group
close loop finite - element, loop finite - element modeling, three - dimensional finite - element closed - loop, time domain analysis, finite - element closed - loop model, active constrained layer, constrain layer damp, time domain, close loop, vibrate structure, develop to predict, ACLD, active damp model, damp, layer damp
diagnose tuple inconsistency, knowledge discovery, approach to granularization, present for knowledge, inconsistent tuple, TCRM, dataset, granulize dataset, granulize, tuple, inconsistent, diagnose tuple, tuple inconsistency, model, diagnose
resolve current problem, similarity measure, past similar case, measure between case, case, current problem, similarity, evaluate the degree, resolve current, similar case retrieval, measure, need in order, order to evaluate, order to resolve, similar case
carcinomas Accurate diagnosis, nasopharyngeal carcinoma accurate, Accurate diagnosis, carcinomas Accurate, MRI, Image fusion, fdg - pet and mri, fdg - pet, fusion, radiotherapy planning, extent be important, important in three - dimensional, CTV, Image, three - dimensional conformal radiotherapy
dibromoalkane monophosphorylation reaction, michaelis - becker dibromoalkane monophosphorylation, monophosphorylation reaction, optimise an organic, organic synthesis, aim at maximise, maximise the yield, michaelis - becker dibromoalkane, Experimental design methodology, Experimental design, analysis technique apply, Experimental, datum analysis technique, design methodology, datum analysis
Repeat Sequence Database, Repeat Sequence, centralize database system, repetitive element, element in complete, complete genome, genome the original, original version, create base, base on centralize, rsdb presently include, database system, RSDB, Repeat, Sequence
acoustic layer score, combine acoustic layer, syllable - base statistical language, statistical language model, layer score, acoustic layer, hide markov model, word spot base, word spot, language model, confidence, score and syllable - base, score, posterior measure, keyword confidence
compute tomography volume, single - slice helical compute, helical computed tomography, tomography volume reconstruct, Favorable noise uniformity, highly nonuniform relative, noise uniformity property, tomography volume, helical compute, single - slice helical, volume reconstruct, highly nonuniform, noise, compute, single - slice
cellular mobile communication, realistic sized system, cellular mobile, mobile communication network, sized system, probability in cellular, mobile communication, hard to compute, compute for realistic, realistic sized, block probability, dynamic channel assignment, channel assignment, assignment block probability, block
galvanic array tool, modern galvanic array, array resistivity log, array tool, tool via dimensional, dimensional reduction, neural network simulation, real - time, inversion, datum, array, real - time inversion algorithm, resistivity log data, neural network, log data
convolution back projection, convolution back, back projection, paper report, cros - section of composite, simulate specimen, Image reconstruction, composite structure, reconstruction of simulate, reconstruction of cross - section, projection This paper, report the reconstruction, back, convolution, projection
experimental comparison, experimental datum, comparison The objective, highlight and discuss, discuss the difference, acoustic response, work present, numerical optimization, compare result, numerical, numerical and experimental, optimization, minimization of acoustic, acoustic emission, work
revisit hardy paradox, entanglement and weak, revisit hardy, counterfactual statement, real measurement, Hardy, paradox be revisit, paradox, Hardy paradox, revisit, statement, real, entanglement, revisit, Hardy scheme
drive strategic innovation, innovation, drive strategic, law firm, law, drive, strategic, organization and attitude, initiative, attitude, firm, entire firm, Marginal, anymore, organization
current humanitarian assistance, current humanitarian, major challenge, challenge in current, widely distribute, distribute and own, make in humanitarian, knowledge management framework, knowledge, decision make, humanitarian, framework, diverse information, disaster relief, knowledge management
payoff - switch differential game, game, differential game, player, fuzzy, payoff - switching, time, reason, payoff, strategy, fuzzy reasoning, reasoning strategy, GSM, behavior, algorithm
sharp boundary layer, Lobatto IIIA formulae, dichotomically stable integrator, dichotomically stable, solve differential - algebraic equation, ordinary differential equation, Lobatto IIIA, stable integrator SYMDAE, Multiple shooting, previous work, discretization be need, sharp boundary, layer may occur, IIIA formulae, stable discretization
york city develop, York City, extensive underground direct, direct current influence, underground direct current, power distribution system, Edison direct current, Pearl Street Station, midtown Manhattan, direct current, thomas edison pioneer, edison pioneer pearl, pioneer pearl street, early decade, develop an extensive
famous american physicist, mechanical many - body dynamic, mechanical computing device, Richard Feynman, simulate quantum mechanical, quantum mechanical many - body, quantum mechanical computing, efficiently simulate quantum, famous American, twentieth century, many - body dynamic, quantum mechanical, number of particle, particle treat, physical modeling
economic difficulty experience, russia have considerably, control power equipment, firmware system SARGON, economic difficulty, considerably retarded, retard the speed, speed of commission, commission new capacity, capacity and reconstruct, power equipment, power industry, system SARGON, power, equipment
operate information increase, increasingly more complex, volume and complexity, information, Open hypermedia, operate information, information increase, hypermedia, maintenance and operating, Open, industrial system, product support, access current information, current information quickly, maintenance
on - line purchase buy, purchase buy present, purchase buy, web have advantage, lot of choice, quick delivery, busy person, wrap the gift, buy present, accessibility, buy, Web, person, lot, choice
delay - choice entanglement swap, mechanical retrodiction effect, discover quantum - information protocol, recently discover quantum - information, apparent nonlocal quantum, nonlocal quantum mechanical, quantum mechanical retrodiction, protocol by pere, peres imply, retrodiction effect, entanglement swap, report the experimental, experimental realization, imply an apparent, apparent nonlocal
