gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, information processors communicating, lattice gas, communicating via classical, classical channels, fluid dynamics
applications Multiresolution analysis, Multiresolution analysis, levels of details, wavelets, efficient tools, tools for representing, multiple levels, MRA, Multiresolution, Four-point, Four-point wavelets, analysis, wavelets provide, representing functions, four-point subdivision scheme
intensity modulated radiation, modulated radiation therapy, neoplasms with intensity, intensity modulated, Millennium multileaf collimators, radiation therapy, multileaf collimator leaf, IMRT treatment plans, head and neck, CNS, IMRT treatment, dose, neck neoplasms, MLC treatment delivery, dynamic MLC treatment
flexible manufacturing systems, fixed production ratios, production ratios Determining, Production capacity, manufacturing systems, fixed production, capacity of flexible, important issue, Production, ratios Determining, Determining the production, maximum production rate, capacity, flexible, part types
arterial spin labeling, arterial spin, oxygen-enhanced and arterial, spin labeling, spin labeling techniques, signal intensity, study investigates, healthy volunteers, arterial, intensity in human, ASL, Ventilation-perfusion ratio, spin, oxygen-enhanced, labeling
Laser-based internal profile, automatic laser-based system, internal profile measurement, internal profile, laser-based system, profile measurement system, measure the internal, system, internal, laser measurement meter, Laser-based, measurement, rotating optical device, floor, point laser source
large-scale model predictive, model predictive control, predictive control Quadratic, control Quadratic programming, Quadratic programming algorithms, model predictive, large-scale model, MPC applications, control Quadratic, important element, Quadratic, challenging MPC applications, MPC, predictive, model
War games, network security, tip of tongues, terror groups, groups could target, target your network, Qaeda, network, War, games, truth, security, world, find, tip
bane or boon, law reporting, law, Transcripts, reporting, bane, boon, statutory systems, system, efficient system, judge-made law, immediately accessible, decisions going unreported, nature, codified
financial, FinancialContent, Web, site named Financialcontent.com, content, Credibility is king, expect to find, Web sites, financial information, individual Web, site, information, distribute, site named, Credibility
FCC Chairman Michael, Chairman Michael Powell, Commerce Committee told, Michael Powell pitched, six-step market-based recovery, market-based recovery plan, telecom revival requires, FCC Chairman, Michael Powell, Committee told, reliance on regulation, Powell pitched, pitched a six-step, six-step market-based, recovery plan
computer science, computer, science, computer science majors, science majors, Open letters, Surely, respective institutions, major, women, Open, letters, attractive, monitored with great, great interest
current-programmed regulators Uncertainty, regulators Uncertainty models, basic switch-mode converters, Robust stability analysis, basic switch-mode, delta, models, Robust stability, Uncertainty models, buck, boost, structured dynamic uncertainties, analysis, Robust, Uncertainty
relational type characterized, study indiscernibility relations, indiscernibility and complementarity, information systems, complementarity relations, first-order conditions, duality result, structures of relational, relational type, type characterized, first-order characterization, modal logic, complementarity, study indiscernibility, relations and complementarity
totally dual integral, cycle-vertex incidence matrix, feedback vertex set, vertex set problem, linear system, dual integral, all-one vector, sufficient condition, totally dual, incidence matrix, vertex set, bipartite tournaments, set problem, min-max theorem, cycle packing problem
single pass turning, pass turning operations, economic cutting conditions, single pass, cutting conditions, pass turning, deterministic optimization approach, deterministic approach, operations are presented, economic cutting, optimization analysis, single, Optimization, conditions, pass
profiled edge lamination, tooling Profiled edge, profiled edge, lamination tooling Profiled, promising rapid tooling, PEL tooling development, edge lamination tooling, simultaneously profiled, intended tool surface, edge lamination, top edges, comprehensive PEL tooling, CAD model, profiled, tooling development system
users find workflow, process management software, management software appealing, business process management, Keen but confused, straightforward to implement, find workflow, content management, users find, business process, software appealing, process management, workflow, content, Pat Sweet reports
customer relationship management, approaching zenith, manufacturers are starting, starting to warm, concept of customer, customer relationship, CRM software evolves, CRM, CRM software, approaching, management, big business, zenith, manufacturers, starting
important Windows-based applications, tax service Peterborough-based, Peterborough-based tax consultancy, Taxguard wanted real-time, safeguards tax service, consultancy IE Taxguard, Taxguard wanted, important Windows-based, Peterborough-based tax, Server safeguards tax, wanted real-time failover, real-time failover protection, protection for important, safeguards tax, tax service
nested Petri nets, Modeling dynamic objects, Petri nets Nested, nets Nested Petri, allowing tokens, nested, dynamic objects, objects in distributed, represented by marked, nets Nested, Petri, Modeling dynamic, systems, distributed systems, Petri nets
local neighbourhood information, Adaptive image enhancement, retinal blood vessel, adaptively estimated based, segmentation Retinal blood, vessel segmentation Retinal, retinal blood, blood vessel images, nonstationary background, blood vessel segmentation, Adaptive image, enhanced by removing, removing the nonstationary, estimated based, based on local
Accelerated business processes, business structures Accelerated, structures Accelerated business, business processes demand, Accelerated business, processes demand, distributed business structures, knowledge databases, Efficient allocation, Accelerated, information systems, information, business structures, transform individual knowledge, collaborative information space
Boost Graph Library, Boost Graph, Graph Library, author applies Boost, applies Boost Graph, Applying BGL, Graph Library graph, computational geometry, Graph, BGL to computational, Boost, Library, applies Boost, author applies, Library graph
Constraint Satisfaction Problems, Satisfaction Problems, CSPs Search algorithms, numeric CSPs Search, Accelerating filtering techniques, CSPs Search, make an extensive, filtering techniques, Accelerating filtering, numeric CSPs, Constraint, Problems, Search, Satisfaction, filtering
Virtual Development Center, Development Center, Development Center program, seeks to significantly, significantly enhance, Development, Technology, Center, Technology seeks, Virtual, Women, Institute for Women, Institute, enhance the impact, developing need-based technology
Access matters Discusses, including accessible Web, matters Discusses accessibility, accessible Web sites, TTY access, people with disabilities, clients to resources, Web sites, accessible Web, referring clients, Access matters, Braille, ADA legislation requiring, TTY, Discusses
provide competitive advantage, manufacturing technology innovations, appropriately implemented, provide competitive, manufacturing, manufacturing technology, Exploratory study, technology innovations, common questionnaire, technologies, USA, study, advanced manufacturing, adoption of manufacturing, present study compares
South Africa transition, South Africa, policies supporting freedom, adopted policies supporting, Developing policies, Africa Following South, South, Africa, access to information, access, supporting freedom, freedom of expression, information, adopted policies, Work in progress
Networking without wires, thin air, wires Several types, types of devices, devices use radio, radio transmitters, transmitters to send, send data, data over thin, Networking, air, wireless local area, local area networks, area networks, wires
produce entangled spin, entangled spin squeezed, spin squeezed states, propose a method, method to produce, entangled spin, spin squeezed, inside an optical, atoms, kappa Gamma, atom cavity coupling, optical cavity, cavity, Entangling atoms, atoms inside
chest radiographic reports, natural language processing, chest radiographic, natural language, evaluate translation, compare the findings, narrative chest radiographic, radiographic narrative reports, translate clinical information, reports, radiographic, chest, language, natural, translation of chest
risk attitudes, subconscious priming, Choice preferences, attitudes We present, subconscious, attitudes, priming, Experiment, risk, preferences, present a procedure, Choice, priming procedure, procedure, preferences without inferences
self-organizing context-based approach, recall complex spatiotemporal, complex spatiotemporal sequences, neural network designed, context-based approach, tracking of multiple, designed to learn, learn and recall, recall complex, multiple robot trajectories, combined competitive, competitive and Hebbian, sequence, neural network, network designed
spatial normalization, based affine registration, affine transformation, Intensity based affine, affine registration including, based affine, including feature similarity, similarity for spatial, spatial, normalization, brain, affine, intensity based registration, Intensity based, based registration method
logic is based, information is codified, high level, controllers Stochastic logic, random pulse sequence, pulse, finite sequence, pulse sequence, random pulse, Stochastic logic, pulse stream, digital processing, Digital, sequence, Boolean algebra
approach Analyses push, metamodelling approach Analyses, push and pull, Analyses push, pull systems, transportation consideration, Comparison of push, systems, pull, Analyses, push, multistage production system, transporters, time, Comparison
legal information professionals, Cat and class, legal information, information, legal, skills, classification skills taught, Cat, class, professionals, skills taught, information studies, article, cataloguing and classification, law firm libraries
current mirror operation, current-mode algorithmic, converter Errors limiting, mirror operation, related to current, current mirror, Errors limiting, resolution of current-mode, current-mode, algorithmic, converter Errors, systematic errors, Errors, Resolution, limiting the resolution
size-resolved cloud models, cloud drops leads, cloud models, phase, existence of cloud, cloud drops, cloud, multiphase chemical systems, gas phase, chemical species, phase chemistry, aqueous phase, aqueous phase chemistry, phase transfer, transfer
colocated feedback controller, paper we propose, propose a special, special type, type of colocated, colocated feedback, Resonant, smart structures, Resonant controllers, feedback controller, resonant circuits, smart, parallel combination, controllers, structures
Commercial and Technical, public business library, Technical Library, Leeds Public Libraries, British Standards information, chapter Traces, Traces the history, Public Commercial, business information services, Public business, Library, mainstream business information, business information, public library, business library
eliminate redundant tasks, Process pioneers, infrastructures along so-called, organisations can streamline, increase automation, agile business, business processes, managing IT infrastructures, redundant tasks, tasks and increase, lines, streamline their business, Process, pioneers, agile
perform text independent, computationally simple method, utterance level scoring, text independent speaker, order statistics, level scoring, modeling This paper, paper describes, describes a computationally, perform text, text independent, Text-independent speaker verification, called utterance level, utterance level, simple method
coupled electron-photon transport, clinical accelerator targets, clinical electron accelerator, Boltzmann equation, Monte Carlo, slab geometry, Monte Carlo calculations, transport in one-dimensional, accelerator targets, Monte Carlo methods, energy spectra produced, compute photon energy, proposed to compute, equation for coupled, coupled electron-photon
open source, Networks dominate today, secure, dominate today computing, today computing landscape, protection, technology, open, source, attack technology, commercial technical protection, technical, dominate today, today computing, landscape and commercial
equivalent electronic circuit, electronic circuit, system was simulated, cardiovascular system, cardiovascular physiology, heart, cardiovascular, diastolic, circuit, system, simulated, equivalent, electronic, left ventricular relaxation, Simulation
well-established multipulse topology, high-power converter topologies, multilevel topologies, converter topologies, multipoint clamped, transmission system, nested cell, multipulse topology, comparison of high-power, paper compares, flexible AC transmission, topologies, power flow controller, FACTS, FACTS controllers
limited labour constraints, automated manufacturing cell, tear-downs and loads, Work sequencing, manufacturing cell, constraints This study, study focuses, today automated manufacturing, limited to setups, utilization is limited, group scheduling heuristics, limited, limited labour, labour constraints, labour utilization
heat equation, equation with nonlocal, nonlocal boundary conditions, paper deals, numerical solution, boundary conditions, heat, equation, solution, nonlocal boundary, integral boundary, resolvent condition, semidiscrete problem, sectorial resolvent condition, one-step methods
Santera targets independents, include independent telcos, major strategy overhaul, capital expense budgets, slashing capital expense, next-generation switching platform, Santera Systems, Calif-based Kerman Telephone, big carriers slashing, carriers slashing capital, Santera targets, Systems is broadening, independent telcos, expense budgets, major strategy
chemical mechanical polishing, physics-based CMP modeling, physically based comprehensive, Establishing the discipline, past decade, semiconductor industry, discipline of physics-based, chemical mechanical, mechanical polishing, polishing has eluded, eluded the semiconductor, based comprehensive process, comprehensive process model, physics-based CMP, CMP modeling
judgments, Eliminating recency, self-review, debias recency, auditors, recency, concern, audit, paper examines, staff auditors, staff, auditors' judgments, choices, Eliminating, concern judgments
robot to adapt, adapt to changing, simulated running jointed, jointed legs poses, difficult control problem, jointed leg Running, running jointed leg, poses a difficult, difficult control, scalable intelligent takeoff, intelligent takeoff controller, simulated running, jointed leg, jointed, legs poses
low encoding, paper proposes, proposes a versatile, capable of low, versatile perceptual audio, audio coding, Perceptual audio coding, audio, decoding delay, Perceptual audio, coding, high compression ratios, achieves high compression, lossless, delay
signal processing applications, angle quantization approach, vector rotational CORDIC, quantization approach Vector, approach Vector rotation, digital signal processing, angle quantization, key operation employed, operation employed extensively, Rotational CORDIC Family, CORDIC Family, CORDIC, rotational, employed extensively, signal processing
viscosity solutions techniques, deterministic control problems, running cost, solutions techniques, cost is studied, studied by viscosity, viscosity solutions, Homogenization of deterministic, Homogenization, deterministic control, Birkhauser Boston, effective Hamiltonian, Stochastic Analysis, Hamiltonian, periodic micro-structure converges
trailing edge flap, reducing unwanted helicopter, unwanted helicopter noise, current rotorcraft research, edge flap, blade trailing edge, tube actuator, flap, piezoelectric tube actuator, actuator, rotor blade trailing, edge, trailing, edge flap actuators, active rotorcraft vibration
NAS parallel benchmarks, NAS parallel, HPF, NAS, implementing all NAS, well-known benchmark set, compiling and implementing, HPF version, High-Performance Fortran, HPF The NAS, NPB, benchmarks, HPF compiler, high-performance machines, high-performance
Dynamic modification, object Petri nets, Petri nets, high-level Petri nets, object-based high-level Petri, Petri, modification of object, modelling protocols, nets, Dynamic, object net formalisms, object net, modification, object, modelling
channel coding, scheme for joint, channel, joint source, lapped transforms, coding, efficient lapped transforms, block classification, Source, coding of images, images, proposed, images is proposed, traditional source, channel-optimised robust quantisers
process design, energy consumption, electropneumatic field, field This article, article proposes, modified with respect, specifications for position, position and velocity, velocity tracking, control strategy, application in electropneumatic, process is modified, industrial bench test, process, nonlinear control laws
semidefinite feasibility problems, feasibility problems arise, feasibility problems Semidefinite, problems Semidefinite feasibility, symmetric positive semidefinite, semidefinite matrix Gamma, Gamma, analytic center cutting, center cutting plane, analytic center, cutting plane method, cutting plane, operations research, positive semidefinite, areas of operations
Signal analysis techniques, wear and failure, tested and reported, indirect monitoring methods, monitoring methods, tool condition monitoring, failure monitoring, signal analysis, monitoring, analysis techniques cover, methods, methods applied, summary, tool wear, Wavelet Transform
sacrificing quality, welding, industry is driven, arc welding, deep narrow penetration, double-sided arc welding, arc, deep narrow, welding process, welding industry, achieving deep narrow, improve welding productivity, double-sided arc, improve, achieving deep
SBC Communications, Communications last week, regulatory compliance efforts, SBC, week created, bring a cohesiveness, cohesiveness and efficiency, efforts that previously, landing FCC approval, compliance efforts, FCC approval, compliance unit, regulatory, compliance, landing FCC
provide numerical measures, potential and performance, numerical measures, capability index, process capability indices, Maple computer program, capability, calculating the p-value, capability index called, pmk, provide numerical, process potential, testing process capability, process capability, index
time passes, hardware and software, software replace, block, passes, upgrade practicalities, kit, time, hardware, software, replace, Dalrymple examines, upgrades, resellers and consultants, Dalrymple
Evaluating alternative manufacturing, dynamic job routing, distributed control system, describes an investigation, effects of dynamic, alternative manufacturing control, Evaluating alternative, alternative control strategies, job sequencing decisions, control strategies, control, manufacturing control strategies, paper describes, system, benchmark manufacturing system
appearance to conform, GUI library Swing, provide software developers, highly customizable framework, library Swing provide, making Swing components, GUI library, Swing provide software, run time, International swinging, Swing components locale-sensitive, highly customizable, framework for creating, automatically change, Swing library
reaching potential customers, cheap Web technology, potential customers, Web talk, cheap Web, Web technology, talk is cheap, wealth of opportunities, opportunities for reaching, reaching potential, Web, customers, talk, cheap, wealth
wavelet packet basis, wavelet packet, operator diagonal, average over translations, packet basis, wavelet, packet, show, bases We show, diagonal, convolution, operator, basis, permits, average
Carnegie Mellon University, Carnegie Mellon experience, University were women, Mellon University, Carnegie Mellon, Carnegie Mellon School, Unlocking the clubhouse, students entering, entering the undergraduate, undergraduate program, Mellon experience, computer science, Carnegie, University, Mellon
Efficient cellular automata, cellular automata based, programmable cellular automata, low-complexity programmable cellular, automata based versatile, based versatile modular, versatile modular multiplier, Efficient cellular, based versatile, automata based, programmable cellular, PCA, proposed versatile multiplier, versatile multiplier increases, multiplier
automatic attack construction, find potential attacks, security protocols, paper proposes, proposes an automatic, find potential, strand space model, security, strand space, dynamic strand space, order to find, attack construction algorithm, space, space model, algorithm
modulated radiation therapy, treatment planning typically, Intensity modulated radiation, Incorporating multi-leaf collimator, iterative IMRT optimization, optimization Intensity modulated, beam delivery, MLC, optimization, multi-leaf collimator, collimator leaf sequencing, beam delivery device, IMRT optimization Intensity, radiation therapy, separate tasks
Vehicle travel time, AGV systems, travel time models, AGV-based material handling, material handling systems, variables involved, travel time, highly complex, large number, number of variables, models for AGV, Vehicle, AGV, AGV-based material, material handling
virtual reality graded, reality graded exposure, graded exposure therapy, reality graded, virtual reality, exposure therapy, graded exposure, equally efficacious, fear of flying, imaginal exposure, efficacious, VRGET, treatment of fear, exposure, therapy
global invariant sets, stable stationary states, three-dimensional nonlinear chaotic, time-periodic orbits, invariant sets, states or time-periodic, control, nonlinear chaotic systems, steering trajectories, energy, paper presents, energy based, nonlinear chaotic, approach, system
team software development, Knowledge flow, distributed team software, neglected in current, team software, Knowledge, team, software development processes, Cognitive cooperation, current team software, flow, software development Cognitive, development Cognitive cooperation, development, software
structure and parameters, Network Markup Language, neural network, neural network model, neural network exchange, trained neural network, exchange This article, article introduces, introduces a framework, interchange of trained, neural, network, Markup Language, trained neural, network model
Taiwan power company, power company phases, Taiwan power, power company, City District Office, privatization and deregulation, Taipei City District, company phases, face the challenges, challenges and impact, inevitable trend, trend toward privatization, power, Taiwan, Facilities Management
efficient and stable, propose an efficient, finding ray-surface intersections, parametric surfaces, finding ray-surface, stable algorithm, Newton method, Newton, stable, efficient, Bezier clipping, algorithm, stable ray, stable ray tracing, algorithm for parametric
frames as short, trajectory Time-resolved contrast-enhanced, Time-resolved contrast-enhanced imaging, projection trajectory Time-resolved, trajectory Time-resolved, gained in popularity, Time-resolved, resolution, contrast-enhanced, isotropic, contrast-enhanced imaging, projection trajectory, projection, MRA, methods have gained
Groove Networks, Ray Ozzie, Networks, Information Age, Groove, CEO and chairman, Massachusetts company, connection age, produces collaboration software, Age, Ozzie, information technology, chairman of Groove, Matching technology, CEO
Qwest executive sheds, executive sheds light, carrier controversial deal, real story, sheds light, controversial deal, Calpoint, telecom, Qwest, check from Quest, story behind Calpoint, deal with Calpoint, real, story, executive
bring to light, Women of color, computer engineering, computer science, increase the number, area of computing, Women, science and computer, computer, color, find the numbers, computing, color based, women of under-represented, engineering
nonlinear time-invariant input-output, nonlinear time-invariant, time-invariant input-output dynamical, Lyapunov function, dynamical systems, storage functions, passive dynamical, dynamical, Lyapunov, systems, passivity conditions, Storage, Lyapunov function satisfying, passive dynamical systems, functions
Rydberg-atom data register, Rydberg-atom data, Quantum-state information retrieval, subpicosecond half-cycle electric, retrieve phase information, half-cycle electric field, electric field pulse, quantum search protocol, data register, analyze a quantum, protocol to retrieve, information retrieval, phase retrieval, phase information, electric field
stochastic averaging approach, nonlinear systems, feedback stochastic controls, Ito stochastic differential, stochastic averaging, feedback control design, feedback control, random excitations, excitations This paper, paper presents, designing and quantifying, amplitude process, stochastic differential equation, Ito stochastic, averaging approach
Women in computing, undergraduate level, world This paper, paper describes, computing, Women, participation, affect women participation, level, affect women, world, paper, describes, focussing, undergraduate
quantum full adder, scalable nuclear spin, chain quantum computer, nuclear spin quantum, full adder, quantum full, spin chain quantum, strategy for implementation, quantum, nuclear spin, implementation a quantum, full, spin quantum, adder, spin chain
Web services, Web, called Web services, wrinkle, innovation called Web, called Web, Internet-related innovation called, financial sector produced, technology, wave of Internet-related, services, economy years, Hmm, share of technology, technology hype
product-support logistics system, Agent-based product-support logistics, maintenance services, service parts, provision of maintenance, competitiveness of industrial, logistics system, timely provision, Resource Description Framework, product-support, industrial systems, logistics, services and service, RDF, XML and RDF
abelian branched coverings, finite abelian groups, weak equivalence classes, m-branch points, branched coverings, weak equivalence, obtain an enumeration, finite abelian, abelian groups, abelian branched, enumeration formula, sphere We obtain, sphere with m-branch, sphere, number of weak
matrix operator rho, simple mixed state, mixed state characterized, special entangled state, fully entangled state, unity matrix, Frontier between separability, operator rho, system We discuss, simple mixed, separable states, mixed state, phi, fully random spins, spin system
Electronic Case File, Case File system, DOS dog days, successful e-filing venture, Case Management, Case File, Management and Electronic, DOS dog, File system, United States Courts, law firms, e-filing venture, dog days, poster child, system now rolling
time delay control, integral sliding surface, robotic excavator, heavy-duty robotic excavator, sliding surface, heavy-duty excavator vary, robotic excavators increases, mechanical structures, integral sliding, time delay, variations in mechanical, nonlinearities in hydraulic, hydraulic actuators, actuators and disturbance, disturbance due
discrete chaotic processes, finite sample, estimating discrete chaotic, discrete chaotic, approaches are discussed, Optimal estimation, optimal algorithms, chaotic process, sample is considered, synthesis of optimal, sample, finite, discrete, Optimal, chaotic
operator approach developed, bounding operator approach, Construction of two-sided, paper extends, approach developed, developed for boundary, bounding operators enclosing, initial-boundary value problems, operator approach, two-sided bounds, initial-boundary, operators enclosing methods, bounding operator, problems, case of initial-boundary
article defines knowledge, discusses its role, describes its functions, Knowledge management, article defines, Knowledge, management, defines knowledge, discusses, role, functions, article, defines, describes, involved
modified genetic algorithm, stochastic search procedure, search procedure based, developing near-optimal topologies, Truss topology optimization, genetic algorithm, load-bearing truss structures, modified genetic, Truss topology, stochastic search, procedure based, developing near-optimal, near-optimal topologies, topologies of load-bearing, load-bearing truss
classifying things, Taxonomy, content, Taxonomy role, content management, things, management, role, simply, classifying, created Yahoo, related applications, rapidly growing list, vendors offering taxonomy, offering taxonomy software
Commerce Department plan, Department plan eases, spectrum-starved wireless carriers, federal government made, wireless carriers fearing, spectrum allocation system, third-generation services, plan eases, crunch The federal, government made, week toward cleaning, allocation system, year ago, wireless carriers, carriers fearing
Garnett Foundation commissioned, Garnett Foundation, Backyard Project, Global Strategy Group, encourage high school, high school girls, Priming the pipeline, high school students, computer science careers, pilot program, college-bound high school, instituted to encourage, high school, encourage high, Strategy Group
Closed loop finite-element, loop finite-element modeling, three-dimensional finite-element closed-loop, time domain analysis, finite-element closed-loop model, active constrained layer, constrained layer damping, time domain, Closed loop, vibrating structure, developed to predict, ACLD, active damping model, damping, layer damping
diagnosing tuple inconsistency, knowledge discovery, approaches to granularization, presented for knowledge, inconsistent tuples, TCRM, datasets, granulized datasets, granulized, tuples, inconsistent, diagnosing tuple, tuple inconsistency, model, diagnosing
resolve current problems, similarity measure, past similar cases, measure between cases, cases, current problems, similarity, evaluate the degree, resolve current, similar case retrieval, measure, needed in order, order to evaluate, order to resolve, similar case
carcinomas Accurate diagnosis, nasopharyngeal carcinomas Accurate, Accurate diagnosis, carcinomas Accurate, MRI, Image fusion, FDG-PET and MRI, FDG-PET, fusion, radiotherapy planning, extent is important, important in three-dimensional, CTV, Image, three-dimensional conformal radiotherapy
dibromoalkane monophosphorylation reaction, Michaelis-Becker dibromoalkane monophosphorylation, monophosphorylation reaction, optimise an organic, organic synthesis, aimed at maximising, maximising the yield, Michaelis-Becker dibromoalkane, Experimental design methodology, Experimental design, analysis technique applied, Experimental, data analysis technique, design methodology, data analysis
Repeat Sequence Database, Repeat Sequence, centralized database systems, repetitive elements, elements in complete, complete genomes, genomes The original, original version, created based, based on centralized, RSDB presently includes, database systems, RSDB, Repeat, Sequence
acoustic layer scores, combines acoustic layer, syllable-based statistical language, statistical language model, layer scores, acoustic layer, Hidden Markov Model, Word spotting based, Word spotting, language model, confidence, scores and syllable-based, scores, posterior measure, keyword confidence
computed tomography Volumes, single-slice helical computed, helical computed tomography, tomography Volumes reconstructed, Favorable noise uniformity, highly nonuniform relative, noise uniformity properties, tomography Volumes, helical computed, single-slice helical, Volumes reconstructed, highly nonuniform, noise, computed, single-slice
cellular mobile communication, realistic sized systems, cellular mobile, mobile communication networks, sized systems, probabilities in cellular, mobile communication, hard to compute, compute for realistic, realistic sized, blocking probabilities, dynamic channel assignment, channel assignment, assignment Blocking probabilities, blocking
galvanic array tool, modern galvanic array, array resistivity logging, array tool, tool via dimensional, dimensional reduction, neural network simulation, Real-time, inversion, data, array, real-time inversion algorithm, resistivity logging data, neural network, logging data
convolution back projection, convolution back, back projection, paper reports, cross-sections of composite, simulated specimens, Image reconstruction, composite structures, reconstruction of simulated, reconstruction of cross-sections, projection This paper, reports the reconstruction, back, convolution, projection
experimental comparison, experimental data, comparison The objective, highlight and discuss, discuss the differences, acoustic response, work presented, numerical optimization, compare results, numerical, numerical and experimental, optimization, minimization of acoustic, acoustic emission, work
Revisiting Hardy paradox, entanglement and weak, Revisiting Hardy, Counterfactual statements, real measurements, Hardy, paradox is revisited, paradox, Hardy paradox, Revisiting, statements, real, entanglement, revisited, Hardy scheme
drive strategic innovation, innovation, drive strategic, law firms, law, drive, strategic, organization and attitude, initiatives, attitude, firms, entire firm, Marginal, anymore, organization
current humanitarian assistance, current humanitarian, major challenge, challenge in current, widely distributed, distributed and owned, making in humanitarian, knowledge management framework, knowledge, decision making, humanitarian, framework, diverse information, disaster relief, knowledge management
payoff-switching differential game, game, differential game, player, fuzzy, payoff-switching, time, reasoning, payoff, strategy, fuzzy reasoning, reasoning strategy, GSM, behavior, algorithm
