crude oil, ocean saturday, alaska, cleanup effort, prince william sound, reef island, chief environmental officer, coast guard, mile long, gallon, wildlife - rich stretch, million, spawn area, slow, dennis kelso
major earthquake, solomon islands, damage, preliminary reading, richter scale, south pacific today, quake, injury, area, strong, usgs spokesman don finley, immediate report, saturday, increase, australia
tornado, rescue worker bob caraway, arc, huntsville, people, home, apartment, shop today, city block, car, national guardsman, far - fling property damage, dead, new jersey, twister
tornado, severe thunderstorm, hundred homeless, wednesday, state - by - state look, people
slovenian presidency, slovenia, serbia, pro - serbian rally, northern republic, statement, economic contact, friday, yugoslavia, political, liberal, ljubljana, regional autonomy, different, south
drought, politician, washington, attention, large disaster relief measure, america, associate press, money
farmer, disaster aid program, need, drought, four - part series, north dakota
black americans, tb bacteria, study today, systemic difference, arkansas department, disease, white, genetic susceptibility, tuberculosis specialist, important reason, living condition, health, percent, national institute, stead
aid patient, tuberculosis, new hope, dana - farber cancer institute, sten vermund, william haseltine, remission, people, substantial number, recent advance, vaccine, available, inner city, possible, evidence
thomas, senate today, liberal, federal appeal judge, critic, equal employment opportunity commission, chairman, record, affirmative action, complaint, danforth, nomination, age - discrimination case, quota, people
wave - wash beach, tanker exxon valdez, helicopter, dead bird, joe bridgman, oil, wildlife population, water, deep blanket, bald eagle, percent, alaska department, driftwood poke, silvery stick, snow
tuberculosis, steady decline, percent, cdc, americans, white, black, number, toll, threat, aid - infect, infection, federal health researcher, preventive therapy, bacteria
smithfield meat market, office building complex, central selling organization, throw, south africa, stone, sign, londoner, de beer, attention, wealthy oppenheimer family, jumpy guard, mount camera, year, heavy door
mad cow disease, cattle, human health, ministry, sick animal, bse, export market, britain, remote risk, professor sir richard southwood, government, food, bovine spongiform encephalopathy, percent, university college
cleanup, exxon valdez oil spill, relate development, chronology
international community assistance, non - profit foundation, world poverty, founder, village banking, john hatch, body blow, bootstrap economic, private enterprise
actress elizabeth taylor, pneumonia, hospital, health center, stable thursday, miss taylor, chen sam, publicist, statement tuesday, new york city, associates public relation, inquiry, health problem, lisa del favaro, persistent fever
ill elizabeth taylor, pneumonia, hospital, condition late monday, breathe, miss taylor, doctor, ventilator, health center, intensive care unit, actress, family, good - actress oscar, analysis, hospital official
elizabeth taylor, near - fatal bout, reporter, miss taylor, aid, actress, balcony attire, doctor, lung specialist, hospital courtyard, wood, statement, weintraub, jeopardy, camera crew member
presidential candidate carlos pizarro, government, drug trafficker, friday, assassination, telefaxed communique, police, colombia, terrorist act, bogota airport, cardinal alfonso lopez trujillo, interior minister horacio serpa, responsibility friday, alvaro gomez hurtado, people
election, assassination, leftist april, president virgilio barco, government, medellin, colombia, drug trafficker, pizarro, jetliner thursday, country, month, campaign, alvaro gomez, political chaos
elizabeth taylor, hospitalization, new infection, complication, fifth week, doctor, miss taylor, private room, intravenous therapy, death, suite, statement, pneumonia, michael wilde, friday
elizabeth taylor, pneumonia, hospital, doctor, treatment, viral pneumonia, death, complication, yeast infection, recovery, week, miss taylor, condition, april, fifth week
tuberculosis, percent increase, snider, director, person, untreated, center, year, international union, drug rehabilitation program, epidemic, immune system, doctor, newark, paris
hurricane season, deadly storm, forecaster, bob sheet, south carolina, hugo, people, attention, worse, william gray, public, slosh model, director, unprecedented, myrtle beach
atlantic hurricane season, today, robert sheet, dire warning, killer, destructive storm, south florida, atmospheric administration report, heavy rain, east, gulf coast, caribbean, year, texas, hugo
path rebel, president alan garcia, lima, insurgency, urban, powerful car bomb, people, coastal city, office july, weekend raid, government palace, defense revolutionary movement, tuesday night, peru, police
tornado, bad year, nation, frederick ostby, flood, record, few death, warn, southern section, middle, kansas, month, storm, july, people dead
republic, slovenia, state tanjug news agency, factual authority, monday, milan kucan, parliament, percent, sovereign state, yugoslavia, country, attribute, province, president, autonomy
large current civil engineering project, britain, eurotunnel, europe, economy, tunnel, france, anglo - french company, napoleon, historic isolation, year, dream, passenger, london, day
communist, leader, slovenia, state, yugoslavia, lawmaker, rival serbia, monday, kosovo, republic, ethnic albanian majority, loose confederation, sovereignty, independent legal system, armed force
cloudy weather saturday, total solar eclipse, midnight sun, finnish, eastern finland, foreign skygazer, thousand, land, joensuu, helsinki, turn, weather forecast, extreme northern latitude, mile, shower
316th air division, crash, military authority, huge c-5a transport, sgt, equipment, persian gulf, west germany, people, cause, wednesday, mile, reservist, frankfurt, ramstein
farm empire, drought, crop, nation, year, commodity price, heat, livestock, agriculture department analysis, bad, solvency position, drought region, information, production, usda
saudi arabia, fourth american aircraft, crash, c-5 jet cargo plane, crew member, region, today, helicopter, day, 48th tactical fighter wing, operation desert shield, equipment, monday, marine, f-111
operation desert shield, air force official, pentagon, persian gulf region, accident, safety awareness, crash, aircraft, accidental death, saudi arabia, common cause, tanker plane, pilot, williams, noon local time
slay parliament speaker, security man today, state funeral, military parade, egypt, iraqi agent, rifaat el - mahgoub, assassination friday, cairo hospital, grim - look president hosni mubarak, president anwar sadat, death toll, year, second - high official, abu nidal
officer, young stockbroker, death, barne, apartment, greg mill, racism, police, accidental, year, drunken drive, shoot, bedroom, bishop, spring
english channel, two - inch probe, tuesday, historic linkup, major turning point, britain, chalk, europe, tunnel, cost, france, massive boring machine, tiny hole, chunnel, yard
english channel, workman, britain, historic linkup, engineering, tunnel, mile, europe, french colleague, continent, prodigious feat, finance, france, inch, transmanche link
atlantic hurricane season, year, devastating storm, forecaster, usual, hint, frequent, batch, year past, decade, sahel, gray, forceful hurricane, atmospheric science, today
moderate earthquake, part, new madrid fault, world, person, tremor monday, magnitude, case climatologist iben brown, quake, scientist, normal day, likely, richter scale, nuclear test, school
slar eclipse, mexico, astronomer bill, sun worship, cabinet - level commission, state, century, july, tourism, populous region, tourist, day, baja california sur, time small, moon
mad cow disease, zoo antelope, small herd, article type, feed, scientist, kudu, science editor, cso, nigel hawkes, english, text, strain, language, sheep
british agriculture, scientist, ban, disease, cow madness, magazine estimate, bse, animal free, new, farming industry, multi - million pound disaster, cattle, maff, creep, ministry
presidential candidate, mexican institutional, luis donaldo colosio murrieta, assassination, today, gmt, revolutionary party, gortari, mar, people, prensa latina, reaction, mexican government, ruben zamora, spanish
peace agreement, shine path, main point, general, peruvian government, popular war, lima, prison, television, weapon, surrender, sunday review, program, life, support base
rafiq al - zayn report, beirut, arabic, bfn, secret meeting, article type, assassination, palestinian ahmad mahmud, coordination, al - rawdah camp, language, iran, abu - nidal group, month, lebanon
belgrade, yugoslav diplomat, normalization, slovenia, yugoslavia, relation, milan kucan, ljubljana, signal, article type, lojze peterle, foreign affair, view, european, information
lengthy statement, summary, president, october, radio programs del peru, leadership, temporary tactical, document, opposition newspaper, january supplement, la republica, prominent anti - fujimori daily, government, paper, fujimori
path, subversion specialist carlos tapia, abimael, semi - legal party, proposal, government favor, opposition, reconciliation, country, shock force, popular movement, guzman reinoso, shine path faction, feliciano, begin
seoul, joint, assassination, evidence, president pak chong - hui, text, paek tong - nim, yonhap, bfn, chong, martial law, key member, central, military - prosecution investigation team, october
crash, kadena air base, dfaa, safe, thorough measure, f-15 fighter, okinawa, briefing, command, defense facilities administration agency, april, japan, cause, aircraft, usfj
path central committee, peruvian state, conquer power, abimael guzman, war, great decision, people, peace accord, report, comrade feliciano, leader, glorious action, president gonzalo, document, lengthy citation
tuberculosis case, latvia increase, number, datum processing, anda mikelsone, past year, tuberculosis morbidity, mortality, article, mandatory treatment, inta pavlovska, text, riga, total number, registry
development, bank, ebrd, good, early 1980s, primary education, washington, institute, reconstruction, sub - saharan africa, president, investment, senior fellow, dollar, main innovation
negotiation, south african group, de beer, cso, world, value term, cent, botswana, idc, country, diamond, international cartel, uncut, political responsibility, worth
debt burden, statistic, government, africa, loan, latin america, mr james skinner, interest, western commerce, local ruler, poor, letter, conflict, misuse, real factor
slovenia, central bank, foreign creditor, relation, mr marko kranjec, nby, debt, negotiation, dollar, new relation, independence, deposit, international monetary fund, yugoslavia, gdp
spongiform encephalopathy, mad cow disease, cattle, mr ron davy, condition, labour agriculture spokesman, scrapie, government, sheep, sparsely - scatter antelope population, britain, question, great kudu, response, eland
brutal police force, mr gate, country, violence, attack, poor black neighbourhood, investigation, yesterday, political scandal, riot, year, community, scale, week, firefighter
pact, prospect, nafta, north american free trade agreement, presidency, mtn coalition, congress, job, mexico, governor bill clinton, white house, resolution, assure, support, mr harry freeman
slovene enterprise, slovenia, alternative trading partner, cent, lose market, european community country, mr feri horvath, french car manufacturer, electrical good maker, yugoslavia, foreign investment, electronic, war, meantime, mean
world bank, poverty, operational directive, loan volume, country, mr lewis preston, strength, commitment, effort, today, poverty reduction, mr preston, past good practice, president, link
hurricane andrew, louisiana, florida, unwelcome, sign, president, initial response, damage, power, devastate inhabitant, yesterday, emergency relief cost, political benefit, mr bush, federal emergency management agency
florida, dollar 6bn, president george bush yesterday, region, second visit, estimate, costly disaster, damage, claim, result, year, figure, hurricane andrew, ruin, bulk
storm - batter louisiana yesterday, florida, worker, massive rebuilding effort, people, squad, main industry, resident, dozen, storm, dollar, new orleans, need, hurricane andrew, distribution problem
loss, dollar, general accident, british insurer, hurricane andrew, external catastrophe reinsurance cover, florida, total, certain claim threshold, mr nelson robertson, yesterday, information, company, louisiana, area
diamond industry, mr harry oppenheimer, de beer, diamantaire newsletter today, time, russia, big shake - up, visit, mr oppenheimer, moscow office, family, operation, republic, cso spokesman, rosalmazzoloto
insurer, hurricane andrew, severe damage, southern florida, yesterday, mile south - west, low - lie city, louisiana, dollar 1bn, new orleans, storm, monday, lloyd, landfall, senior member
damage, hurricane andrew, yesterday, southern florida, city, louisiana, monday morning, mississippi, new orleans, government official, gulf, mile, devastate landfall, large lake, sunday
total loss, gulf, severe property damage, southern florida, hurricane andrew, pound 3bn, mr justin balcombe, dollar 15bn, reinsurance, mexico, death, uk - base insurance adjuster balcombe group, lloyd, alabama, business interruption claim
greedy rush, unprecedented, angola, miner, canada, time, de beer, cso, diamond, ironic, dollar, south african group, river level, question, cent
welfare programme, president bill clinton yesterday, national governor, task - force, job training, association, day, new administration, work, requirement, people, measure, unemploye, mr clinton, health
independence, slovene, slovenia, president milan kucan, croatia, prime minister, war, traditional importance, cost, slovenian coast- line, three - pronged coalition government, war - impoverished rest, peaceful, europe, balkan partner
bse, government veterinary, farmer, disease, mr peter warhurst, health expert, yesterday, cjd, human, week, case, incidence, chief medical officer, cattle, bovine spongiform encephalopathy
world bank president, poverty, mr lewis preston, performance, yesterday, development institution, progress, country, poverty reduction, mr preston, economic safety net, share, people, cent, benchmark
key hispanic group, nafta, support, environment, competitive sector, mr richard lopez, condition, canada, mexico, job growth, side, leader, southwest voter registration project, border, la raza
north american free trade agreement, nafta, mr ross perot, california, labour leader, washington state, war, declaration, site, opposition, clinton administration week, perotista, ms kathleen brown, signing ceremony, congressman
mr clinton, environmental activist, white house pomp, foot anti - nafta banner, north american free trade agreement, nafta, greenpeace, pact, widespread public hostility, week, guerrilla tactic, unfurl, pro - nafta congressman, similar exploit, house hearing
man president bill clinton, free trade pact, washington, back - room political arm - twisting, tie, nafta position, task force, canada, young brother, mexico, mr daley, labour, chief adviser, divide congress, experience
president bill clinton, pledge, taxis, fatherless child, government spending, urban decay, welfare, strict two - year time limit, popular line, economic position, election campaign, idea, low - pay employment, solution, year
new wave, mad cow, second dairy farmer, public concern, bse, cjd, animal, year, prion, bovine spongiform encephalopathy, epidemic, government policy, feature, disease, cattle
diamond business, river limpopo, zimbabwe, de beer, south african group, river ranch, carat, mineral, southern border, mr robin baxter - brown, dollar, site, new joint owner, world, beitbridge
white house lawn, nafta, political battle, republicans, fair trade campaign, north american free trade agreement, day, good measure, week, ms lori wallach, democrats, display, mexican, product day, bit
welfare benefit, pilot plan, time limit, president bill clinton, go - ahead, georgia, wisconsin, family, state, vermont, white house official, mr clinton, florida, experiment, broad overhaul
welfare state, family support, elderly people, world, advance capitalist economy, cent, responsible, number, significant factor, glue, year, demand, policy, gdp, germany
pro - nafta fold, north american development bank, clinton administration, congressman esteban torre, job loss, support, favourable constituent mail, project, community, nafta, white house, so - call nadbank, anti - nafta public opinion, north american free trade agreement, democrats
purchase, mr robert kennedy, republican senator, assassination, long year, handgun, five - day waiting period, brady bill, government, rev martin luther king jr, measure, weapon, gun, gun control, background
virginia, mr ross perot, congressman, nafta, office, company, passionate opposition, north american free trade agreement, house, florida state university, union member, saturday, mexican worker, mexico, little competition
north american free trade agreement, stock market, nafta, share price, president clinton, good, congress, competitive force, mexico, week, investor, wednesday, direct approach, treaty, blair house
debate victory, washington, texan billionaire ross perot, congressional district, public opinion, company yesterday, congress, vice president al gore, nafta, mexico, day holiday weekend, member, pro - nafta force, country, anti - nafta whip
cattle disease bovine spongiform encephalopathy, new research project, human being, british beef import, german government yesterday, bse, european union ban, launch, country, initiative, eu health minister, conclusive evidence, tonne, non - existent, germany
caribbean government, canadian market, central american, mr alexander watson, competitive mexico, proposal, north american free trade agreement, region, economic dislocation, free access, interest, washington, measure, state, assistant secretary
property market, house, le shuttle, price low, channel tunnel open, kent, recovery, france, country, office, start signal, pound, high, hesdin, wine society
british beef export, ban, germany, mad cow disease, bse, fear, bovine spongiform encephalopathy, health minister, live cattle, brussels today, bonn, strong backing, scientific evidence, commission, yesterday
north - west region, belgium, new european metropolitan area, channel tunnel, mr anthony vande candelare, big port, commerce, traffic, france, official opening, country, year, calais, potential, north
coastal tokai region, japan, tokyo, world, public, unusual phenomenon, dense array, precursor, tidal movement, tectonic plate, geophysical instrument, earthquake, expert, gauge, meter
world, finsch, botswana, jwaneng, mr simon webb, south africa, gem, metre deep, remote - control lhd, underground development, value, general manager, present, diamond, open pit
venetia, global diamond market, quota, general manager, gem stone, de beer, mr han gastrow, south africa, production, turbulence, week, cent, output, seven - day working, botswana
mr ernesto zedillo, mexico, party, gulf drug cartel, political reactionary, mr ruiz massieu, assassination, legal system, pri, country, doubt, federal deputy, kill, difficulty, strong link
los, fred nichols, law - and - order conservative, activist, controversial videotape, sacramento, lawsuit, nerve press, atlanta, result, police, arm, case, protester, torque martial art weapon
office, los angeles county district attorney, don jackson, incident, mark dickey, plate glass window, tuesday, black man, old clothe, routine traffic, curt livesay, jeff hill, civil right, fbi, spokesman fre reagan
canyon, landscape, firescape demonstration garden, chaparral, owen dell, hill, desirable place, property, california poppy, home, homeowner, house, zone, plant, wildfire
total, fourth quarter, earning, estimate, exxon, year, wednesday, new york, second quarter, analyst, one - time gain, company, charge, cost, gas price
right, gun, militia, don kate, second amendment, parade magazine, semi - automatic weapon, registration, constitution, bill, handgun, purpose, good, people, time
ben johnson, disgrace olympic sprinter, personal physician, stanozolol, toronto star newspaper, astaphan, steroid, occasion, carl lewis, month, today, telephone interview, caribbean island, rivalry, commission counsel robert armstrong
white long beach police officer, black man, plate - glass window, television crew, arrest, jackson, dickey, friday, boatwright, incident, error, hear, testimony, little faith, hour
carl lewis, ben johnson, performance - enhance drug, world, anabolic steroid stanozolol, athlete, francis, urine sample, innuendo, gold, sport monday, drink, allocation, canadian inquiry, second
sprinter ben johnson, canadian coach charlie francis, seoul olympic, urine, lynda huey, sample, steroid, acquaintance, positive, drug, clean, nbc - tv, test, physical therapist, american athlete
long beach - bind exxon oil tanker, reef friday, alaska, sea, marine bird, prince william sound, cleanup, gallon, wildlife service, report, coast guard, tourist, environmentalist, whale, pristine pacific waterway
exxon valdez, sea otter, rescue bird, tanker, frank iarossi, pristine prince william sound, coast guard, effort, disaster area, water, rock, available, wildlife expert, ship, separate accident
exxon salvage crew, new, wednesday, criminal charge, sea, joseph hazelwood, hour, coast, long island suburb, authority, reef, ship, problem, close watch, oil
exxon valdez oil spill disaster, safety, federal official, steve cowper, thursday, public antipathy, term, owner, order, autopilot, hour, electronic navigation aid, possibility, trans - alaska oil pipeline, company
marathon, abebe bikila, joan benoit samuelson, ethiopian runner, second, ingrid kristiansen, mile, ethiopia, juma ikangaa, physical problem, early, sunday, mekonnen, race, monday
los angeles county district attorney, office, practice, addiction, elizabeth taylor, report, painkiller, rehabilitation clinic, prescribing, friday, alternative mean, therapy, treatment, allegation, investigation
mad cow disease, cattle, human, ministry, sir simon gourlay, sick animal, bse, export market, remote risk, britain, food, government, bovine spongiform encephalopathy, farmer, agriculture
elizabeth taylor, lung biopsy, prepare statement, pneumonia, hospital, academy award - win actress, ventilator, physician, doctor, condition, problem, monday, lisa del favero, cause, surgery
liz taylor, giddy tabloid, rumor, hospital stay, addiction, drug, late bout, doctor, star, report, news, field day, aid, pneumonia, michael roth
valdez, alaska, bill, coast guard, saturday, package, complete cleanup, impossible, fouled prince william sound, juneau, day, time - consume repair, house, water, chamber
marathon, race, rex wilson, lead pack, runner, wen yanmin, mile, second, course record, out - kick laura konatz, viktor gural, woman, new zealand, man, event
pneumonia - stricken actress elizabeth taylor, new infection, hospitalization, fifth week, complication, doctor, miss taylor, recovery, death, health center, santa monica, publicist, bacterial pneumonia, today, yeast infection
bad wildfire season, brush, decade, monday, mountain terrain, potential, bark beetle, drought, southern california, rare fungus, chaparral, gordon rowley, year, tall grass, fire official
fire, stately lodgepole pine, suppression mode, blaze, park, year, tourist haven, impact, spring, soil scientist henry shovic, yellowstone, big cypress, chill effect, barbee, nature
