gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, solve fluid dynamics, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical
applications Multiresolution analysis, applications Multiresolution, Multiresolution analysis, levels of details, wavelets, efficient tools, tools for representing, multiple levels, Four-point wavelets, MRA, Four-point, Multiresolution, four-point subdivision scheme, four-point subdivision, wavelets provide
intensity modulated radiation, modulated radiation therapy, neoplasms with intensity, intensity modulated, Millennium multileaf collimators, multileaf collimator leaf, modulated radiation, radiation therapy, IMRT treatment plans, multileaf collimator, CNS, IMRT treatment, MLC treatment delivery, dose, neck neoplasms
flexible manufacturing systems, fixed production ratios, production ratios Determining, flexible manufacturing, Production capacity, manufacturing systems, fixed production, production ratios, Production, important issue, ratios Determining, maximum production rate, capacity of flexible, Determining the production, manufacturing
arterial spin labeling, oxygen-enhanced and arterial, arterial spin, spin labeling, spin labeling techniques, signal intensity, study investigates, healthy volunteers, intensity in human, oxygen-enhanced, arterial, spin, Ventilation-perfusion ratio, ASL, labeling techniques
Laser-based internal profile, automatic laser-based system, internal profile measurement, Laser-based internal, automatic laser-based, internal profile, profile measurement system, laser-based system, measure the internal, system, internal, laser measurement meter, Laser-based, measurement, floor
model predictive control, large-scale model predictive, predictive control Quadratic, control Quadratic programming, Quadratic programming, Quadratic programming algorithms, model predictive, predictive control, large-scale model, MPC applications, control Quadratic, challenging MPC applications, important element, Quadratic, large MPC applications
War games, network security, tip of tongues, terror groups, groups could target, target your network, Qaeda, network, War, games, truth, security, world, find, tip
bane or boon, law reporting, law, Transcripts, reporting, bane, boon, statutory systems, system, judge-made law, efficient system, immediately accessible, law reporters, decisions going unreported, nature
financial, FinancialContent, Web, Financialcontent.com, site named Financialcontent.com, financial information, named Financialcontent.com, content, Web sites, Web site, Credibility is king, expect to find, individual Web site, individual Web, information
FCC Chairman Michael, Chairman Michael Powell, Commerce Committee told, Michael Powell pitched, six-step market-based recovery, market-based recovery plan, telecom revival requires, FCC Chairman, Chairman Michael, Commerce Committee, Michael Powell, Committee told, reliance on regulation, Powell pitched, pitched a six-step
computer science, computer science majors, science, science majors, computer, male computer science, Open letters, Surely, major, majors, respective institutions, Open, letters, women, attractive
current-programmed regulators Uncertainty, regulators Uncertainty models, current-programmed regulators, basic switch-mode converters, Robust stability analysis, regulators Uncertainty, delta, basic switch-mode, models, Robust stability, stability analysis, Uncertainty models, buck, boost, structured dynamic uncertainties
relational type characterized, study indiscernibility relations, information systems, complementarity relations, first-order conditions, duality result, structures of relational, relational type, type characterized, indiscernibility relations, modal logic, first-order characterization, indiscernibility and complementarity, complementarity, information
totally dual integral, feedback vertex set, cycle-vertex incidence matrix, vertex set problem, feedback vertex, vertex set, linear system, dual integral, all-one vector, sufficient condition, totally dual, cycle-vertex incidence, incidence matrix, bipartite tournaments, general bipartite tournaments
single pass turning, pass turning operations, pass turning, single pass, turning operations, economic cutting conditions, cutting conditions, deterministic approach, deterministic optimization approach, pass, turning, operations are presented, economic cutting, optimization analysis, cutting
profiled edge lamination, tooling Profiled edge, profiled edge, promising rapid tooling, lamination tooling Profiled, edge lamination tooling, PEL tooling development, simultaneously profiled, intended tool surface, top edges, edge lamination, CAD model, tooling Profiled, profiled, comprehensive PEL tooling
users find workflow, process management software, management software appealing, business process management, Keen but confused, straightforward to implement, find workflow, content management, users find, business process, software appealing, process management, management software, workflow, content
customer relationship management, approaching zenith, relationship management, manufacturers are starting, starting to warm, concept of customer, customer relationship, CRM software evolves, CRM, CRM software, approaching, management, big business, zenith, manufacturers
important Windows-based applications, tax service Peterborough-based, service Peterborough-based tax, Peterborough-based tax consultancy, Taxguard wanted real-time, safeguards tax service, Windows-based applications, service Peterborough-based, consultancy IE Taxguard, Taxguard wanted, important Windows-based, Peterborough-based tax, Server safeguards tax, wanted real-time failover, real-time failover protection
nested Petri nets, nested Petri, Petri nets Nested, nets Nested Petri, Modeling dynamic objects, allowing tokens, nested, dynamic objects, objects in distributed, represented by marked, nets Nested, Petri, Petri nets, Petri net, Modeling dynamic
retinal blood vessel, local neighbourhood information, Adaptive image enhancement, adaptively estimated based, segmentation Retinal blood, vessel segmentation Retinal, blood vessel images, retinal blood, blood vessel segmentation, nonstationary background, neighbourhood information, Adaptive image, blood vessel, segmentation Retinal, enhanced by removing
business structures Accelerated, structures Accelerated business, Accelerated business processes, structures Accelerated, business processes demand, Accelerated business, processes demand, distributed business structures, knowledge databases, Efficient allocation, Accelerated, information systems, information, business structures, business processes
Boost Graph Library, Graph Library graph, Boost Graph, Graph Library, applies Boost Graph, author applies Boost, Applying BGL, computational geometry, Graph, Graph Library data, Graph Library generic, BGL to computational, Library graph, Boost, Library
Constraint Satisfaction Problems, Constraint Satisfaction, Satisfaction Problems, CSPs Search algorithms, numeric CSPs Search, Accelerating filtering techniques, Search algorithms, filtering techniques, CSPs Search, make an extensive, Accelerating filtering, numeric CSPs, Constraint, Problems, filtering
Virtual Development Center, Virtual Development, Development Center, Development Center program, seeks to significantly, significantly enhance, Development, Virtual, Center, Technology, Technology seeks, Women, enhance the impact, Institute for Women, Institute
Access matters Discusses, including accessible Web, matters Discusses accessibility, accessible Web sites, TTY access, matters Discusses, Web sites, people with disabilities, including accessible, clients to resources, Discusses accessibility, accessible Web, referring clients, Access matters, Braille
provide competitive advantage, manufacturing technology innovations, appropriately implemented, provide competitive, competitive advantage, manufacturing, manufacturing technology, Manufacturing technologies, advanced manufacturing technology, technology innovations, Exploratory study, common questionnaire, technologies, USA, manufacturers
South Africa transition, South Africa, policies supporting freedom, adopted policies supporting, Developing policies, Africa transition, Africa Following South, South, Africa, access, supporting freedom, freedom of expression, adopted policies, policies supporting, Work in progress
Networking without wires, thin air, wires Several types, types of devices, devices use radio, radio transmitters, transmitters to send, send data, data over thin, Networking, air, wireless local area, local area networks, wireless local, area networks
produce entangled spin, entangled spin squeezed, spin squeezed states, propose a method, method to produce, produce entangled, entangled spin, spin squeezed, squeezed states, inside an optical, atoms, kappa Gamma, atom cavity coupling, Entangling atoms, large number
chest radiographic reports, natural language processing, natural language, chest radiographic, radiographic reports, natural language processor, language processing, narrative chest radiographic, chest radiographic narrative, evaluate translation, compare the findings, radiographic narrative reports, translating chest radiographic, translate clinical information, language
risk attitudes, subconscious priming, Choice preferences, attitudes We present, priming, subconscious, attitudes, Experiment, risk, preferences, present a procedure, Choice, inferences, priming procedure, procedure
self-organizing context-based approach, recall complex spatiotemporal, neural network designed, complex spatiotemporal sequences, self-organizing context-based, context-based approach, tracking of multiple, designed to learn, learn and recall, recall complex, complex spatiotemporal, multiple robot trajectories, combined competitive, neural network, network designed
spatial normalization, affine transformation, based affine registration, Intensity based affine, affine registration including, based affine, including feature similarity, similarity for spatial, affine registration, spatial, normalization, affine, brain, normalization with affine, paper presents
logic is based, information is codified, high level, random pulse sequence, controllers Stochastic logic, random pulse, random pulse stream, finite sequence, pulse, pulse sequence, Stochastic logic, pulse stream, binary pulse sequence, digitally processed, sequence
approach Analyses push, metamodelling approach Analyses, push and pull, Analyses push, approach Analyses, pull systems, transportation consideration, metamodelling approach, Comparison of push, pull, systems, Analyses, push, multistage production system, system
legal information professionals, legal information, Cat and class, information professionals, information, legal, skills, classification skills taught, Cat, class, information studies, professionals, classification skills, skills taught, article
current mirror operation, current-mode algorithmic, converter Errors limiting, mirror operation, related to current, current mirror, Errors limiting, algorithmic, current-mode, Resolution, limiting the resolution, resolution of current-mode, converter Errors, systematic errors, Errors
size-resolved cloud models, cloud drops leads, size-resolved cloud, cloud models, phase, existence of cloud, cloud drops, gas phase, cloud, multiphase chemical systems, gas phase chemistry, phase chemistry, aqueous phase, aqueous phase chemistry, chemical species
colocated feedback controller, paper we propose, propose a special, special type, type of colocated, colocated feedback, Resonant, smart structures, Resonant controllers, resonant circuits, smart, feedback controller, parallel combination, high-Q resonant circuits, controllers
Commercial and Technical, public business library, Public business libraries, Technical Library, Leeds Public Libraries, British Standards information, chapter Traces, Traces the history, Public Commercial, business information services, Public business, Library, Public Libraries, mainstream business information, business information
eliminate redundant tasks, Process pioneers, infrastructures along so-called, organisations can streamline, eliminate redundant, increase automation, agile business, business processes, managing IT infrastructures, redundant tasks, tasks and increase, lines, streamline their business, Process, pioneers
perform text independent, utterance level scoring, computationally simple method, text independent speaker, level scoring, order statistics, Text-independent speaker verification, called utterance level, utterance level, modeling This paper, paper describes, describes a computationally, computationally simple, perform text, text independent
coupled electron-photon transport, clinical accelerator targets, clinical electron accelerator, Boltzmann equation, Monte Carlo, Monte Carlo calculations, Monte Carlo methods, slab geometry, clinical accelerator, electron accelerator targets, transport in one-dimensional, accelerator targets, energy spectra produced, compute photon energy, Monte Carlo runs
open source, Networks dominate today, secure, dominate today computing, today computing landscape, protection, technology, open, source, Networks dominate, attack technology, commercial technical protection, technical, dominate today, today computing
equivalent electronic circuit, electronic circuit, system was simulated, equivalent electronic, cardiovascular system, cardiovascular physiology, heart, cardiovascular, diastolic, circuit, physiology, diastolic function, system, simulated, equivalent
well-established multipulse topology, high-power converter topologies, power converter topologies, multilevel topologies, converter topologies, multipoint clamped, transmission system, nested cell, multipulse topology, topologies, comparison of high-power, paper compares, flexible AC transmission, well-established multipulse, power flow controller
automated manufacturing cell, limited labour constraints, tear-downs and loads, manufacturing cell, automated manufacturing, Work sequencing, today automated manufacturing, constraints This study, study focuses, limited to setups, manufacturing, group scheduling heuristics, utilization is limited, limited, limited labour
heat equation, equation with nonlocal, equation with integral, nonlocal boundary conditions, integral boundary conditions, paper deals, boundary conditions, numerical solution, heat, equation, nonlocal boundary, integral boundary, solution, resolvent condition, sectorial resolvent condition
Santera targets independents, include independent telcos, major strategy overhaul, capital expense budgets, slashing capital expense, next-generation switching platform, Santera Systems, Calif-based Kerman Telephone, big carriers slashing, carriers slashing capital, Santera targets, Systems is broadening, independent telcos, strategy overhaul, expense budgets
chemical mechanical polishing, physics-based CMP modeling, physically based comprehensive, Establishing the discipline, past decade, semiconductor industry, discipline of physics-based, chemical mechanical, mechanical polishing, polishing has eluded, eluded the semiconductor, based comprehensive process, comprehensive process model, physics-based CMP, CMP modeling
judgments, Eliminating recency, debias recency, recency, self-review, auditors, concern, audit, paper examines, staff auditors, staff, auditors' judgments, auditors', choices, concern judgments
simulated running jointed, jointed legs poses, difficult control problem, running jointed leg, jointed leg Running, intelligent takeoff controller, poses a difficult, difficult control, scalable intelligent takeoff, running jointed, simulated running, jointed leg, jointed, scalable intelligent, Neural controllers
low encoding, paper proposes, proposes a versatile, capable of low, versatile perceptual audio, audio coding, Perceptual audio coding, Perceptual audio, audio, high compression ratios, decoding delay, coding, lossless, achieves high compression, delay
vector rotational CORDIC, signal processing applications, angle quantization approach, quantization approach Vector, approach Vector rotation, digital signal processing, Rotational CORDIC Family, angle quantization, key operation employed, operation employed extensively, called Angle Quantization, vector rotational, rotational CORDIC, CORDIC Family, CORDIC
viscosity solutions techniques, deterministic control problems, running cost, solutions techniques, cost is studied, studied by viscosity, viscosity solutions, Homogenization of deterministic, Homogenization, effective Hamiltonian, deterministic control, Birkhauser Boston, Stochastic Analysis, Hamiltonian, periodic micro-structure converges
trailing edge flap, trailing edge, edge flap, reducing unwanted helicopter, unwanted helicopter noise, blade trailing edge, current rotorcraft research, edge flap actuators, tube actuator, active trailing edge, flap, edge, piezoelectric tube actuator, edge flap deflections, rotor blade trailing
NAS parallel benchmarks, NAS parallel, HPF, NAS, implementing all NAS, well-known benchmark set, HPF version, compiling and implementing, High-Performance Fortran, HPF The NAS, NPB, well-known benchmark, HPF compiler, parallel benchmarks, benchmarks
Dynamic modification, object Petri nets, Petri nets, high-level Petri nets, object-based high-level Petri, object Petri, high-level Petri, Petri, modelling protocols, nets, Dynamic, object net formalisms, modification of object, modification, object net
channel coding, channel, scheme for joint, lapped transforms, joint source, coding, efficient lapped transforms, Source, block classification, images, proposed, transforms and block, traditional source, channel-optimised robust quantisers, lapped
process design, energy consumption, electropneumatic field, field This article, article proposes, modified with respect, specifications for position, position and velocity, velocity tracking, control strategy, application in electropneumatic, electropneumatic system, process is modified, industrial bench test, process
semidefinite feasibility problems, feasibility problems Semidefinite, problems Semidefinite feasibility, feasibility problems arise, semidefinite feasibility, symmetric positive semidefinite, semidefinite matrix Gamma, feasibility problems, analytic center cutting, Gamma, center cutting plane, analytic center, cutting plane method, cutting plane, positive semidefinite
indirect monitoring methods, monitoring methods, Signal analysis techniques, wear and failure, tested and reported, tool condition monitoring, failure monitoring, signal analysis, monitoring, summary, analysis techniques cover, methods, methods applied, Wavelet Transform, tool wear
welding, sacrificing quality, industry is driven, arc welding, deep narrow penetration, double-sided arc welding, deep narrow, arc, achieving deep narrow, narrow penetration, welding process, arc welding process, welding industry, double-sided arc, improve welding productivity
SBC Communications, Communications last week, regulatory compliance efforts, SBC, regulatory compliance, regulatory compliance unit, week created, bring a cohesiveness, cohesiveness and efficiency, efforts that previously, landing FCC approval, compliance efforts, Communications, compliance unit, compliance
provide numerical measures, potential and performance, capability index, numerical measures, process capability indices, process capability index, Maple computer program, capability, calculating the p-value, capability index called, Computer program, capability indices, testing process capability, pmk, process potential
time passes, hardware and software, software replace, block, passes, upgrade practicalities, kit, time, hardware, software, replace, upgrades, Dalrymple examines, resellers and consultants, Dalrymple
Evaluating alternative manufacturing, dynamic job routing, distributed control system, describes an investigation, effects of dynamic, alternative manufacturing control, control strategies, alternative control strategies, Evaluating alternative, job sequencing decisions, control, manufacturing control strategies, distributed control, paper describes, control system
GUI library Swing, provide software developers, highly customizable framework, library Swing provide, making Swing components, GUI library, Swing provide software, run time, International swinging, Swing components locale-sensitive, run, provide software, software developers, highly customizable, customizable framework
reaching potential customers, cheap Web technology, potential customers, Web talk, cheap Web, Web technology, talk is cheap, wealth of opportunities, opportunities for reaching, reaching potential, Web, customers, talk, cheap, technology
wavelet packet basis, wavelet packet, operator diagonal, packet basis, average over translations, wavelet, packet, show, diagonal, convolution, operator, basis, permits, bases We show, bases
Carnegie Mellon University, Carnegie Mellon experience, University were women, Carnegie Mellon, Carnegie Mellon School, Mellon University, Unlocking the clubhouse, students entering, entering the undergraduate, undergraduate program, Mellon experience, computer science, Carnegie, Mellon, Mellon School
Efficient cellular automata, cellular automata based, programmable cellular automata, low-complexity programmable cellular, automata based versatile, based versatile modular, cellular automata, based versatile multiplier, based versatile, Efficient cellular, versatile modular multiplier, automata based, programmable cellular, low-complexity programmable, PCA
security protocols, automatic attack construction, find potential attacks, strand space model, paper proposes, proposes an automatic, find potential, strand space, security, dynamic strand space, order to find, attack construction algorithm, space model, space, original strand space
modulated radiation therapy, treatment planning typically, Intensity modulated radiation, Incorporating multi-leaf collimator, iterative IMRT optimization, optimization Intensity modulated, beam delivery, MLC, optimization, multi-leaf collimator, collimator leaf sequencing, beam delivery device, IMRT optimization Intensity, radiation therapy, separate tasks
Vehicle travel time, travel time models, travel time, AGV-based material handling, material handling systems, AGV systems, Vehicle travel, variables involved, highly complex, large number, number of variables, models for AGV, empty travel times, material handling, travel
virtual reality graded, reality graded exposure, graded exposure therapy, imaginal exposure therapy, reality graded, exposure therapy, virtual reality, graded exposure, equally efficacious, imaginal exposure, efficacious, VRGET, fear of flying, exposure, therapy
global invariant sets, stable stationary states, three-dimensional nonlinear chaotic, time-periodic orbits, global invariant, invariant sets, three-dimensional nonlinear, stable stationary, stationary states, states or time-periodic, control, nonlinear chaotic systems, steering trajectories, paper presents, energy
team software development, distributed team software, software development, team software, software development processes, current team software, Knowledge flow, software development Cognitive, Knowledge, Cognitive cooperation, team, neglected in current, development Cognitive cooperation, software, flow
Network Markup Language, neural network, neural network model, neural network exchange, trained neural network, Neural Network Markup, network, exchange This article, article introduces, introduces a framework, interchange of trained, neural, Markup Language, trained neural, network model
Taiwan power company, power company phases, Taiwan power, power company, City District Office, privatization and deregulation, Taipei City District, company phases, face the challenges, challenges and impact, inevitable trend, trend toward privatization, Taiwan, power, Facilities Management
efficient and stable, propose an efficient, finding ray-surface intersections, parametric surfaces, finding ray-surface, stable algorithm, Newton method, efficient, Newton, stable, Bezier clipping, algorithm, stable ray, algorithm for parametric, algorithm for finding
trajectory Time-resolved contrast-enhanced, Time-resolved contrast-enhanced, Time-resolved contrast-enhanced imaging, projection trajectory Time-resolved, trajectory Time-resolved, Time-resolved, gained in popularity, resolution, contrast-enhanced, contrast-enhanced imaging, isotropic, projection trajectory, projection, undersampled, MRA
Groove Networks, Networks, Ray Ozzie, Information Age, Groove, CEO and chairman, Massachusetts company, connection age, produces collaboration software, Age, Ozzie, information technology, connections, information, chairman of Groove
Qwest executive sheds, executive sheds light, carrier controversial deal, Qwest executive, real story, executive sheds, sheds light, carrier controversial, controversial deal, Calpoint, telecom, Qwest, check from Quest, story behind Calpoint, deal with Calpoint
computer engineering, computer science, Women of color, increase the number, Women, science and computer, computer, area of computing, color, find the numbers, computing, women of under-represented, color based, engineering, under-represented ethnicities
nonlinear time-invariant input-output, nonlinear time-invariant, time-invariant input-output dynamical, Lyapunov function, dynamical systems, storage functions, passive dynamical, Storage functionals, dynamical, Lyapunov function satisfying, imply storage functions, passive dynamical systems, storage functions satisfying, unique Lyapunov function, Lyapunov
Rydberg-atom data register, Rydberg-atom data, retrieve phase information, Quantum-state information retrieval, subpicosecond half-cycle electric, half-cycle electric field, electric field pulse, quantum search protocol, data register, Quantum-state information, Rydberg-atom, analyze a quantum, protocol to retrieve, phase retrieval, phase information
nonlinear systems, stochastic averaging approach, feedback stochastic controls, Ito stochastic differential, stochastic averaging, feedback control design, feedback control, amplitude process, random excitations, excitations This paper, paper presents, designing and quantifying, stochastic differential equation, averaging approach, Ito stochastic
undergraduate level, world This paper, paper describes, Women in computing, computing, Women, participation, level, affect women participation, affect women, world, paper, describes, focussing, undergraduate
quantum full adder, chain quantum computer, spin quantum computer, scalable nuclear spin, full adder, quantum full, nuclear spin quantum, quantum computer, spin chain quantum, scalable nuclear, strategy for implementation, quantum, full, nuclear spin, chain quantum
Web services, Web, called Web services, wrinkle, innovation called Web, called Web, Internet-related innovation called, financial sector produced, services, technology, wave of Internet-related, Internet-related innovation, economy years, Hmm, technology hype
product-support logistics system, Agent-based product-support logistics, product-support logistics, maintenance services, product-support logistics chain, provision of maintenance, competitiveness of industrial, service parts, logistics system, Agent-based product-support, product-support, timely provision, logistics, Resource Description Framework, industrial systems
abelian branched coverings, weak equivalence classes, finite abelian groups, equivalence classes, m-branch points, weak equivalence, branched coverings, obtain an enumeration, finite abelian, abelian groups, abelian branched, enumeration formula, sphere We obtain, sphere with m-branch, sphere
matrix operator rho, simple mixed state, mixed state characterized, special entangled state, fully entangled state, unity matrix, entangled state, matrix operator, Frontier between separability, operator rho, system We discuss, simple mixed, separable states, mixed state, state characterized
Electronic Case File, Case File system, DOS dog days, successful e-filing venture, Case Management, Electronic Case, Case File, Management and Electronic, DOS dog, File system, United States Courts, law firms, successful e-filing, e-filing venture, dog days
time delay control, integral sliding surface, robotic excavator, heavy-duty robotic excavator, sliding surface, integral sliding, heavy-duty excavator vary, mechanical structures, robotic excavators increases, time delay, variations in mechanical, nonlinearities in hydraulic, hydraulic actuators, actuators and disturbance, disturbance due
discrete chaotic processes, finite sample, estimating discrete chaotic, discrete chaotic, approaches are discussed, chaotic process, Optimal estimation, optimal algorithms, estimating discrete, chaotic processes, sample is considered, finite, synthesis of optimal, sample, discrete
operator approach developed, bounding operator approach, Construction of two-sided, paper extends, approach developed, developed for boundary, bounding operators enclosing, initial-boundary value problems, operator approach, operators enclosing methods, bounding operator, two-sided bounds, case of initial-boundary, initial-boundary, problems
article defines knowledge, Knowledge management, discusses its role, defines knowledge management, describes its functions, article defines, Knowledge, management, defines knowledge, knowledge management initiatives, discusses, role, functions, involved in knowledge, article
modified genetic algorithm, stochastic search procedure, search procedure based, developing near-optimal topologies, Truss topology optimization, genetic algorithm, load-bearing truss structures, Truss topology, modified genetic, stochastic search, search procedure, procedure based, developing near-optimal, near-optimal topologies, topologies of load-bearing
classifying things, content, Taxonomy, content management, Taxonomy role, things, management, role, simply, classifying, created Yahoo, related applications, rapidly growing list, vendors offering taxonomy, offering taxonomy software
Commerce Department plan, Department plan eases, spectrum-starved wireless carriers, federal government made, wireless carriers fearing, Commerce Department, spectrum allocation system, Department plan, plan eases, spectrum-starved wireless, third-generation services, crunch The federal, federal government, government made, week toward cleaning
Garnett Foundation commissioned, Backyard Project, Garnett Foundation, encourage high school, Global Strategy Group, high school girls, college-bound high school, high school students, Priming the pipeline, computer science careers, pilot program, high school, instituted to encourage, encourage high, Global Strategy
Closed loop finite-element, loop finite-element modeling, three-dimensional finite-element closed-loop, time domain analysis, finite-element closed-loop model, active constrained layer, constrained layer damping, time domain, domain analysis, loop finite-element, finite-element modeling, three-dimensional finite-element, finite-element closed-loop, Closed loop, vibrating structure
diagnosing tuple inconsistency, inconsistent tuples, knowledge discovery, approaches to granularization, presented for knowledge, TCRM, tuples, granulized datasets, diagnosing tuple, inconsistent, granulized, datasets, tuple inconsistency, model, diagnosing
resolve current problems, similarity measure, measure between cases, past similar cases, cases, measure, needed in order, order to evaluate, order to resolve, similarity, current problems, similar case retrieval, evaluate the degree, resolve current, order
carcinomas Accurate diagnosis, nasopharyngeal carcinomas Accurate, Accurate diagnosis, carcinomas Accurate, Image fusion, MRI, FDG-PET and MRI, fusion, FDG-PET, radiotherapy planning, extent is important, important in three-dimensional, CTV, Image, fusion images
dibromoalkane monophosphorylation reaction, Michaelis-Becker dibromoalkane monophosphorylation, monophosphorylation reaction, Experimental design methodology, Experimental design, optimise an organic, organic synthesis, aimed at maximising, maximising the yield, Michaelis-Becker dibromoalkane, dibromoalkane monophosphorylation, analysis technique applied, design methodology, data analysis, data analysis technique
Repeat Sequence Database, Repeat Sequence, centralized database systems, Sequence Database, repetitive elements, elements in complete, complete genomes, genomes The original, original version, created based, based on centralized, RSDB presently includes, database systems, RSDB, centralized database
acoustic layer scores, combines acoustic layer, syllable-based statistical language, statistical language model, layer scores, Word spotting based, combines acoustic, acoustic layer, syllable-based statistical, statistical language, Word spotting, Hidden Markov Model, language model, confidence, keyword confidence
computed tomography Volumes, helical computed tomography, single-slice helical computed, tomography Volumes reconstructed, computed tomography, Favorable noise uniformity, highly nonuniform relative, noise uniformity properties, helical computed, tomography Volumes, single-slice helical, Volumes reconstructed, uniformity properties, highly nonuniform, noise
cellular mobile communication, realistic sized systems, cellular mobile, mobile communication networks, probabilities in cellular, sized systems, dynamic channel assignment, channel assignment, blocking probabilities, mobile communication, hard to compute, compute for realistic, realistic sized, assignment Blocking probabilities, channel assignment Blocking
galvanic array tool, modern galvanic array, array resistivity logging, galvanic array, array tool, modern galvanic, tool via dimensional, dimensional reduction, neural network simulation, real-time inversion algorithm, Real-time, neural network, network simulation, real-time inversion, inversion
convolution back projection, convolution back, back projection, paper reports, simulated specimens, Image reconstruction, composite structures, cross-sections of composite, projection This paper, back, reconstruction of simulated, reports the reconstruction, reconstruction of cross-sections, convolution, projection
