oil traffic, prince william sound, alaska, chief environmental officer, mile long, big oil spill, ocean saturday, cleanup effort, tanker exxon valdez, reef island, coast guard, dennis kelso, spawn area, crude oil, slick
forest fire, yellowstone national park, winter, cooke city, patti smith, resident, small montana tourist town, new wildfire season, cabin, newspaper, silver gate, small motel, firefighter, lot, hunt season
don jackson, long beach, police chief, office, off - duty black policeman, los angeles area, investigation, incident, sgt, city council today, national news monday night, allege police racism, plate - glass window, police department, black hawthorne policeman
giant de beer diamond organization, fair trading, consolidate gold fields plc, central selling organization, interested, office, monopoly, south africa, london, luxembourg - base minorco sa, london - base diamond cartel, complaint, british mining concern, takeover bid, company
tornado, normal tornado death, twister, year, small area, nation, national severe storm forecast center, record number, common, changeable spring weather, frequent thunderstorm, long - term average, fatality, national weather service, month
earthquake, earthquake - relate death toll, richter scale, magnitude, considerable damage, survey, soviet, nepal - india border, people, exact toll, strength, recent, main shock, armenia, significant
people, tuberculosis bacteria, aids virus, study, new england journal, high risk, tuberculosis infection, percent life - long risk, medicine, activation, hiv, drug abuser, doctor, drug addict, recent year
moon tuesday, partial solar eclipse visible, solar telescope, percent, sun, view, silhouette mountain, crowd, flare - produce sunspot, western north america, ed krupp, partial eclipse, california institute, giant group, caltech
diabete test, hispanic, joanne pierluissi, mexican - american, small motor home, researcher, type ii diabetes, disease, americans, percent, diabete study, family, diet, form, tube
diabete test, hispanic, americans, joanne pierluissi, tube, general population, texas, researcher, percent, form, blood, nurse mary perez, sleeve, forearm, daughter
total solar eclipse, clay tablet, year, researcher, scientist, reliable record, ancient observer, edwin krupp, today, analysis, ugarit, british journal nature, syria, march, university
police, john laux, city, downtown hotel, officer, department, black, drug raid, progressive attitude, problem, scuffle, police racism, van hayden, recent protest, minneapolis
tanker exxon valdez, oil, prince william sound, ship, early friday, bligh reef, spill, large oil spill, calm water, official, fishing industry worker, united states, mile, richard golob, gallon
oil, tanker exxon valdez, big oil spill, sunday, disaster area, square mile, coast guard, once - pristine prince william sound, fisherman, bridge, alaska, nation, joseph hazelwood, captain, federal disaster declaration
tornado fact, national weather service, insurance information institute, april, news account, mph, record, mile, path, average, frequent, month, june, illinois, large hail
tanker exxon valdez, bad - ever oil spill, crude oil, exxon crew tuesday, ship, preparation, vessel, fugitive captain, nation, square mile, oil - catch boom, foot long, alaska, source, joseph hazelwood
exxon tanker, mile, oil coastline, large oil spill, cleanup, alaska site, plan, valdez, alaskan coastline fouled, nation, exxon official monday, park superintendent ray bane, huge brown bear, pollute, prince william sound
exxon, oil giant, spill, oil company, cleanup strategy, boycott, mile, tanker exxon valdez, alaska, yost, national press club, gas price, plan, alaskan oil spill, consumer
tuberculosis case, inmate, state, cdc, prison, tuberculosis rate, test, disease control, new jersey, large correctional system, time high, center, federal health official, infection, survey
hurricane, atlantic hurricane season, forecaster, satellite, bob sheet, florida, weather service, hurricane reconnaissance flight, hurricane center, storm, datum, year, air force, heavy rain, hurricane activity
police chief, herminio taylo, assassin, major financial center, communist rebel today, makati, rebel new people, 10th soldier, lydio zeta, capital area, street violence, philippine, public market, manila, twin city
big fire, smoke saturday, acre, utah, wind, california, day, wyoming, new mexico, arizona, home, fire crew, washington, mile, interior alaska
fire, firefighter, firefighter whip blaze, creek, new mexico fire, acre, high humidity, gila trout, today, official, fish, lightning - cause divide fire, small fire thursday, rain, gila national forest
illegal alien, state, house seat, census, amendment, senate, illegal resident, apportionment, shelby, constitution, person, new immigration bill, process, congressional reapportionment, large number
right, maine legislator, amendment, state constitutional amendment, gun, edward brown, felon, arm, charge, possession, perkin, citizen, judge, firearm, criminal threatening
fire, record - break fire season, dry august, sandi sacher, acre, western wildfire, official, forest, year, yellowstone national park, range land, hard - hit area, firefighter, week, drought
illegal alien, state, census, house, house seat, military personnel, major issue, people, constitution, slow growth, resident, national head count, census official, commerce department, loss
second hurricane, hurricane dean, national weather center, water wednesday, puerto rico, atlantic season wednesday, loose, food, tropical storm, mph, tape window, forecaster, barbuda, leeward island, nearby island
fire officer, nation, wildfire command post, center, airplane, line, boise interagency fire center, mile, idaho, lightning, year, summer, equipment, acre ablaze, strategist
maoist shine path guerrilla, rebel, path political officer, peru, upper huallaga river valley, official, coca production, revolutionary justice, village, drug abuse, local police, tingo maria, homosexuality, drug consumption, large source
satellite, destructive path hurricane hugo, hurricane tracking, forecaster, national hurricane center, time, supercomputer, meteorological condition, south carolina coast, people plenty, model, computer model, storm, information, forecasting change
third - large city, new mayor, black activist, young daley, police brutality, nation, report, hearing, fear, machine politic, widespread segregation, minority, racial issue, poice department, old wound
ben johnson, steroid, carl lewis, muscle - build substance, reporter, mel levine, gold medal, legislation, wrong, positive, world - class sprinter, high school, field, track, pedestal
strong quake, earthquake, northern california, clarence allen, probability, area, report, high probability, magnitude, major earthquake, richter scale, san francisco bay area tuesday, southern santa cruz mountain, san andreas fault, widespread heavy damage
earthquake, solomon islands, damage, major earthquake, richter scale, preliminary reading, quake, strong, area, magnitude earthquake, usgs spokesman don finley, south pacific today, early seismograph reading, saturday, injury
tornado, people, apartment, city block, car, home, new jersey, power line, huntsville, national weather service, dead, twister, state, huntsville police maj, far - fling property damage
tornado, severe thunderstorm, hundred homeless, wednesday, state - by - state look, people
slovenia, serbia, pro - serbian rally, northern republic, friday, yugoslav federation, economic contact, decision tuesday, slovenian authority, slovenian presidency, serbian politician, political, serbian action tuesday, yugoslavia, ljubljana
drought, politician, washington, attention, large disaster relief measure, america, associate press, money
farmer, disaster aid program, need, drought, four - part series, north dakota
white, black, study today, tb bacteria, infection, systemic difference, tuberculosis specialist, black people, disease, nursing home, percent, genetic susceptibility, health, stead, prison
aid patient, tuberculosis, vaccine, sten vermund, resurgent epidemic, william haseltine, dana - farber cancer institute, substantial number, allergy, remission, recent advance, inner city, available, new hope, aid - relate infection
thomas, senate today, liberal, equal employment opportunity commission, federal appeal judge, critic, chairman, affirmative action, record, complaint, danforth, nomination, age - discrimination case, people, quota
wave - wash beach, oil, spill area, tanker exxon valdez, wildlife population, joe bridgman, percent, bald eagle, water, bad oil spill, seabird, sound, alaska department, helicopter, deep blanket
percent, aid, tuberculosis, high rate, cdc, average annual decrease, black, white, tb patient, new tuberculosis case, few tb case, number, americans, tb treatment, body susceptible
de beers diamond empire, central selling organization, diamond business, south africa, percent, world, london - base marketing arm, wealthy oppenheimer family, rough diamond, double - digit price increase, black majority, smithfield meat market, producer well term, year, sale
disease, cattle, sick animal, human health, agriculture, bse, sheep by - product, britain, food, government, british province, report, farmer, ireland, brain
cleanup, exxon valdez oil spill, relate development, chronology
international community assistance, non - profit foundation, world poverty, founder, village banking, john hatch, body blow, bootstrap economic, private enterprise
taylor spokeswoman, hospital, health center, chen sam, miss taylor, stable thursday, pneumonia, actress elizabeth taylor, associates public relation, lisa del favaro, new york city, inquiry, publicist, statement tuesday, health problem
miss taylor, breathe, hospital, doctor, ventilator, pneumonia, ill elizabeth taylor, health center, condition, family, condition late monday, intensive care unit, pneumonia patient, proper level, actress
elizabeth taylor, near - fatal bout, reporter, miss taylor, aid, actress, balcony attire, lung specialist, doctor, hospital courtyard, wood, statement, weintraub, jeopardy, camera crew member
assassination, pizarro, presidential candidate carlos pizarro, friday, government, police, colombia, responsibility friday, medellin drug cartel, thursday, drug trafficker, cardinal alfonso lopez trujillo, telefaxed communique, bogota airport, liberal party
candidate carlos pizarro, president virgilio barco, colombia, assassination, government, country, medellin, drug trafficker, liberal party, alvaro gomez, jetliner thursday, armed force, shoot, political chaos, campaign
elizabeth taylor, hospitalization, pneumonia, fifth week, new infection, complication, doctor, miss taylor, private room, intravenous therapy, death, suite, hospital spokeswoman paulette weir, bacterial pneumonia, statement
elizabeth taylor, pneumonia, fifth week, hospital, doctor, treatment, bacterial pneumonia, viral pneumonia, yeast infection, death, complication, miss taylor, recovery, setback, april
tuberculosis, aids virus, tb case, victim open, new health threat, percent increase, lung disease, tb infection, americans, disease control, alarming health official, snider, director, immune system, person
hurricane season, bob sheet, storm, forecaster, florida coast, hugo, national hurricane center, people, william gray, deadly storm, director, south carolina, atlantic hurricane season, population, attention
hurricane, robert sheet, national hurricane center, hurricane gilbert, emergency planning, hugo, atlantic hurricane season, texas, caribbean, destructive storm, people, south florida, atmospheric administration report, category, long - term trend
president alan garcia, lima, shine path safe house, powerful car bomb, people, path rebel, weekend raid, insurgency, wednesday, government palace, defense revolutionary movement, coastal city, tuesday night, rebel attack, guerrilla safehouse
tornado, bad year, frederick ostby, flood, storm, few death, record, national severe storm forecast center, southern section, kansas, warn, july, middle, long range computer forecast, month
republic, slovenia, federal, slovenian presidency, state tanjug news agency, constitution, monday, yugoslavia, new yugoslav confederation, sovereign state, milan kucan, factual authority, serbia, parliament, yugoslav federation
tunnel, british deputy chairman, eurotunnel, project, britain, chunnel, anglo - french company, french, high - speed rail link, state - own british rail, alastair morton, passenger, london, france, government
slovenian declaration, slovenia, state, rival serbia, yugoslavia, federal authority, republic, slovenian control, monday, loose confederation, kosovo, state medium, prosperous northern republic, communist, armed force
midnight sun, cloudy weather saturday, finnish, eclipse, eastern finland, total eclipse, total solar eclipse, foreign skygazer, joensuu, land, thousand, helsinki, extreme northern latitude, television news, mile
wednesday, crash, sgt, ramstein air base, air force, cargo plane, persian gulf, military authority, people, equipment, massive aircraft, frankfurt, reservist, 433rd military airlift wing, mile
farm empire, drought, severe drought region, year, crop, detailed income, nation, agriculture department analysis, information, heat, solvency position, annual farm cost, livestock, state, bad
fourth american aircraft, saudi arabia, crash, crew member, northern arabian sea, helicopter, region, 48th tactical fighter wing, day, monday, operation desert shield, today, equipment, c-5 jet cargo plane, marine
air force official, accident, operation desert shield, flight, persian gulf region, regular training flight schedule, pentagon, crash, aircraft, hour, safety awareness, saudi arabia, tanker plane, noon local time, spokesman
rifaat el - mahgoub, assassination friday, second - high official, state funeral, security man today, iraqi agent, grim - look president hosni mubarak, islamic extremist, military parade, president anwar sadat, death toll, government, egyptian moslem fundamentalist, red - bereted military police, funeral procession route
officer, police, barne, apartment, police chief steven bishop, innocent man, death, greg mill, allege excessive force, racism, kansas city police officer, black citizen, year, white, good
costly tunnel, worker, two - inch probe, official, historic linkup, english channel, construction consortium, europe, tiny hole, british terminu, massive boring machine, french colleague, chunnel, tuesday, britain
tunnel, british worker, english channel, probe, drill, engineering, high - speed train, europe, historic linkup, britain, construction consortium, french colleague, mile, inch, construction union official
devastating storm, year, atlantic hurricane season, forceful hurricane, year past, forecaster, normal rainfall, frequent, hugo, gilbert, destructive atlantic hurricane, batch, usual, hint, sahel
moderate earthquake, part, quake, new madrid fault, person, considerable damage, world, magnitude, area, national earthquake information center, case climatologist iben brown, tremor monday, richter scale, nuclear test, new marid
slar eclipse, mexico, sun worship, astronomer bill, state, path, july, century, tourist, cabinet - level commission, day, baja california sur, tourism, populous region, moon
mad cow disease, disease similar, zoo antelope, kudu, article type, scientist, london zoo, small herd, infection, infective agent, science editor, cso, nigel hawkes, transmission, animal
british cattle, disease, cow madness, animal free, british agriculture, bse, farming industry, scientist, ministry, ban, european government, maff, population, sheep, feed
assassination, colosio, colombian government, presidential candidate, mexican institutional, luis donaldo colosio murrieta, revolutionary party, today, gmt, news medium, gortari, mar, people, president, prensa latina
peace agreement, shine path, peruvian government, main point, popular war, amnesty, lima, television, prison, surrender, sunday review, weapon, program, life, general
prominent frc official, abu - nidal group, investigation, lebanese security, authority, beirut, assassination, mobilization youth organization, rafiq al - zayn report, jordanian fundamentalist element, imyo, jordan, information, al - rawdah camp, fundamentalist organization
slovenia, yugoslavia, yugoslav diplomat, relation, belgrade, official slovene, slovene capital, foreign affair, statement, yugoslav newspaper, milan kucan, normalization, attitude, minister, extreme policy
imprison shine path, peace, path leader abimael guzman, alberto fujimori, document, la republica, leadership, lengthy statement, summary, october, january supplement, government, path statement, paper, retreat
subversion specialist carlos tapia, shine path faction, guzman reinoso, abimael, second party congress, government favor, opposition, edmundo cox beuzeville, proposal, country, shock force, reconciliation, negotiation, popular movement, feliciano
chong, joint, commander, paek tong - nim, evidence, assassination, seoul, team, military - prosecution investigation team, assassin kim, prosecution, martial law, president pak chong - hui, key member, army chief
crash, kadena air base, dfaa, f-15 fighter, okinawa, management, briefing, defense facilities administration agency, command, thorough investigation, april, cause, aircraft, japan, safe
path central committee, war, shine path congress, people, meet, path pamphlet, great decision, abimael guzman, leader, operational capacity, report, president gonzalo, alternate member, new phase, party
tuberculosis case, tuberculosis morbidity, latvia increase, number, datum processing, past year, mandatory treatment, state tuberculosis, inta pavlovska, mortality, anda mikelsone, medical legislative proposal, text, article, present time
bank, mr lewis preston, country, development, early 1980s, huge debt, investment, project lending, private debt, ebrd, mr barber conable, primary education, mr john williamson, world development report, international economic
botswana, diamond, cso, market, de beer, rough, new contract, exclusive sale contract, idc, important diamond producer, country, production, botswana stone, south african group, output
african debt, poor country, government, africa, debt burden, latin america, statistic, interest, loan, mr james skinner, conflict, poor, bulk, letter, real factor
central bank, slovenia, debt, foreign exchange deposit, slovene citizen, nby, unallocated yugoslav federal debt, relation, official, negotiation, mr marko kranjec, dollar, mr andrej klemencic, independence, croatia
mad cow disease, spongiform encephalopathy, sheep, cattle, mr ron davy, condition, labour agriculture spokesman, scrapie, government, question, sparsely - scatter antelope population, britain, number, rapid increase, response
mr gate, los angeles police department, high - rank commission, violence, poor black neighbourhood, office, police force, investigation, controversial police chief, political scandal, attack, police conduct, brutal police force, police officer, community
nafta pact, presidency, job, congress, mexico, north american free trade agreement, prospect, white house, democratic leadership, powerful texas democrats, labour right, issue, governor bill clinton, support, capitol hill
slovenia, cent, lose market, european community country, export, slovene enterprise, electrical good maker, trade link, mr feri horvath, slovene import, french car manufacturer, alternative trading partner, foreign investment, war, electronic
world bank, poverty, loan volume, country, mr lewis preston, poverty reduction, new drive, strength, commitment, operational directive, effort, effective policy, today, past good practice, mr preston
president george bush, hurricane andrew, florida, mr bush, re - election campaign, mr bill clinton, emergency relief cost, white house chief, louisiana, initial response, devastate inhabitant, brief address, mr james baker, yesterday, americans
insurance claim, property claim service division, president george bush yesterday, dollar 6bn, industry, region, hurricane, catastrophe service, florida, hurricane andrew, second visit, costly disaster, figure, ruin, damage
florida, people, louisiana state official, federal emergency official, local official, hurricane andrew, storm, resident, alligator, dollar, storm - batter louisiana yesterday, distribution problem, need, transportation secretary andrew card yesterday, massive rebuilding effort
loss, dollar, general accident, british insurer, hurricane andrew, external catastrophe reinsurance cover, florida, certain claim threshold, total, mr nelson robertson, yesterday, information, company, louisiana, level
mr harry oppenheimer, diamond, de beer, diamond industry, diamantaire newsletter today, russian gold, moscow office, russia, five - year sale contract, cso spokesman, time, big shake - up, present market turmoil, mr oppenheimer, dollar 5bn
severe damage, southern florida, insurer, mile south - west, low - lie city, dollar 1bn, louisiana, new orleans, storm, yesterday, monday, hurricane andrew, lloyd, senior member, landfall
dollar 20bn, southern florida, hurricane andrew, louisiana, damage, yesterday, insurance industry analyst, texas yesterday, mississippi, government official, new orleans, gulf, emergency service, property damage, storm
pound 3bn, business interruption claim, total loss, insurance market, dollar 15bn, gulf, mr justin balcombe, lloyd, mexico, outlying eastern island, insurance industry loss, power line, reinsurance risk, hurricane andrew, alabama
diamond, market, successful cartel, de beer, dollar, time, rough, angola, soggy demand, cso, price, diamond business, river level, canada, world
welfare, welfare reform, new administration, welfare programme, president bill clinton yesterday, national governor, task - force, family support act, mr clinton, work, right economy, welfare recipient, welfare cheque, requirement, job training
slovenia, croatia, slovene, southern border, independence, war, cost, slovenian coast- line, alpine neighbour, war - impoverished rest, yugoslavia, peaceful, balkan partner, hard currency income, three - pronged coalition government
bse, case, government veterinary, mr peter warhurst, cjd, health expert, disease, farmer, yesterday, incidence, chief medical officer, human, week, number, cattle
mr lewis preston, bank, poverty, lend, world bank president, poor people, poverty reduction, progress, explicit poverty focus, economic safety net, specific increase, mr preston, country, performance, share
nafta, hispanic backing, key hispanic group, support, competitive sector, mr richard lopez, worker right, agreement, north american trade agreement, environment, job growth, side, labour force, southwest voter registration project, canada
nafta, mr ross perot, california, foe, massive campaign, washington state, north american free trade agreement, american public, opposition, year, clinton administration week, labour leader, anti - nafta crusader, town, pact
mr clinton, white house pomp, foot anti - nafta banner, nafta, pact, widespread public hostility, environmental activist, president carter, north american free trade agreement, pro - nafta congressman, administration, greenpeace, mexico, opposition, similar exploit
william daley, back - room political arm - twisting, mr clinton, nafta position, chicago, chief adviser, man president bill clinton, washington, legendary democratic machine, international trade arena, young brother, mr daley, general agreement, divide congress, tangible supporter
welfare, fatherless child, radical welfare reform, mr clinton, president bill clinton, urban decay, low - pay employment, work pay, benefit, administration, job, year, welfare mother, dollar, family
new case, second dairy farmer, bse, disease, mad cow, cjd, year, government policy, public concern, prion, brain disorder similar, animal, herd, death, epidemic
river limpopo, diamond business, de beer, zimbabwe, river ranch, carat, south african group, mr robin baxter - brown, dollar, southern border, right, zimbabwe government, site, new joint owner, state - control mineral marketing corporation
nafta, democrats, president, white house lawn, fair trade campaign, bill daley, jim jontz, political battle, ms lori wallach, republicans, vote, perot, mr clinton, congressman jim kolbe, labour
welfare system, wisconsin, cash payment, welfare benefit, president bill clinton, pilot plan, time limit, georgia, welfare reform, family, broad overhaul, wisconsin plan, welfare payment, experiment, pioneer
pension, cost, oecd, welfare state, cent, population age, economic co - operation, country, low - income family, growth, unemployment benefit, increase, number, pressure, fundamental reform
clinton administration, pro - nafta vote, white house, job loss, favourable constituent mail, nafta, congressman esteban torre, north american free trade agreement, undecided congressman, pro - nafta fold, support, community, anti - nafta public opinion, north american development bank, project
gun, brady bill, long year, government, republican senator, weapon, state law, gun control, new, nra, mr james brady, background, assassination, tough control, criminal
virginia, congressman, nafta, florida state university, mr ross perot, company, district, passionate opposition, mexican worker, congressman, north american free trade agreement, saturday, mexico, mr josh greenwood, little competition
nafta, high inflation, president clinton, investor, trade conference, growth, share price, stock market, congress, bond yield, good, mexico, business leader, wednesday, week
debate victory, mr perot, mexico, nafta, vice president al gore, company yesterday, country, pro - nafta force, trade pact, day holiday weekend, congress, home, washington, anti - nafta whip, fierce attack
human being, new research project, german government yesterday, bse, british beef import, cattle disease bovine spongiform encephalopathy, european union ban, launch, country, initiative, contaminate beef, eu health minister, mad cow disease, conclusive evidence, non - existent
caribbean government, nafta signatory, region, caribbean official, central american, canadian market, mexico, mr alexander watson, parity, north american free trade agreement, caribbean basin country, proposal, free access, state, canada
north eastern france, property market, house, french, le shuttle, price, kent, prospective buyer, wall town, pound, wine society, northern french property, calais, hesdin, tunnel
european commission, british beef export, ban, germany, bse, legal action, mad cow disease, uk beef sector, bovine spongiform encephalopathy, health minister, bonn, human, live cattle, fear, scientific evidence
north - west region, belgium, channel tunnel, veurne, commerce, new european metropolitan area, west, western flander, big port, france, traffic, official opening, north, courtrai, calais
japan, imminent earthquake, prediction believer, area, tokai area, coastal tokai region, significant quake, tectonic plate, precursor, tokai section, world, research, tokyo, tidal movement, unusual phenomenon
metre deep, diamond, jwaneng, open pit, de beer, world diamond production, botswana, mine, mr loz shaw, finsch, south african group, company, underground development, general manager, mr simon webb
venetia, de beer, diamond, ore, output, south africa, cso, production, gem stone, cent, week, quota, global diamond market, russian export, time venetia
party, mr jose francisco ruiz massieu, mr manuel munoz rocha, drug gang, political reactionary, mr ruiz massieu, mexico, gulf drug cartel, mr ernesto zedillo, pri, legal system, federal deputy, strong link, assassination, kill
police, protester, demonstrator, police use, operation rescue, officer, los angeles police academy gym, pain, law - and - order conservative, fred nichols, pain - compliance, force, technique, civil right, arm
office, don jackson, independent investigation, los angeles county district attorney, incident, white long beach police officer, mark dickey, long beach officer, curt livesay, civil right, black man, brutality, jeff hill, tuesday, allegation
firescape demonstration garden, natural fire, landscape, plant zone, owen dell, santa barbara, property, santa barbara city fire department, home, house, canyon, homeowner, chaparral, flammable, tree
exxon, charge, cost, oil, spill, new york, additional cleanup cost, net income, exxon spokesman william smith, second quarter, year, fourth quarter, tanker exxon valdez, spill coordinate office, earning
gun, right, don kate, second amendment, time magazine, militia, law professor, individual right, constitution, bill, purpose, free state, handgun, good, right protection
ben johnson, personal physician, disgrace olympic sprinter, astaphan, toronto star newspaper, stanozolol, drug, meter olympic, carl lewis, gold medal, occasion, steroid, month, today, rivalry
officer mark dickey, don jackson, official report, white long beach police officer, state police officer standard, black man, television crew, car, plate - glass window, arrest, incident, error, state senate oversight committee, friday, boatwright
carl lewis, performance - enhance drug, johnson, ben johnson, francis, innuendo, world record, urine sample, athlete, anabolic steroid stanozolol, steroid furazabol, allocation, canadian inquiry, gold, sport monday
lynda huey, sprinter ben johnson, canadian coach charlie francis, seoul, urine, seoul olympic, sprinter angella taylor, steroid, sample, drug, positive, clean, acquaintance, nbc - tv, test
crude oil, exxon valdez, long beach - bind exxon oil tanker, alaska, spill, prince william sound, sea, wildlife service, cleanup, gallon, exxon usa, boom, environmentalist, reef friday, tourist
crippled ship, sea otter, frank iarossi, oil contamination, exxon valdez, pristine prince william sound, oil - cover bird, water, tanker, coast guard, cleanup effort, rescue bird, rock, wildlife expert, separate accident
